timestamp,kwh
2024-03-04 03:00:00,0.749
2024-03-04 04:00:00,1.396
2024-03-04 05:00:00,1.514
2024-03-04 06:00:00,1.804
2024-03-04 07:00:00,2.256
2024-03-04 08:00:00,3.064
2024-03-04 09:00:00,3.113
2024-03-04 10:00:00,3.497
2024-03-04 11:00:00,3.746
2024-03-04 12:00:00,3.956
2024-03-04 13:00:00,4.058
2024-03-04 14:00:00,3.783
2024-03-04 15:00:00,3.894
2024-03-04 16:00:00,3.808
2024-03-04 17:00:00,3.793
2024-03-04 18:00:00,4.001
2024-03-04 19:00:00,3.41
2024-03-04 20:00:00,3.005
2024-03-04 21:00:00,2.297
2024-03-04 22:00:00,1.717
2024-03-04 23:00:00,1.476
2024-03-05 00:00:00,0.771
2024-03-05 01:00:00,0.713
2024-03-05 02:00:00,0.94
2024-03-05 03:00:00,1.091
2024-03-05 04:00:00,1.382
2024-03-05 05:00:00,1.581
2024-03-05 06:00:00,1.596
2024-03-05 07:00:00,2.413
2024-03-05 08:00:00,2.778
2024-03-05 09:00:00,3.234
2024-03-05 10:00:00,3.21
2024-03-05 11:00:00,4.06
2024-03-05 12:00:00,3.551
2024-03-05 13:00:00,3.998
2024-03-05 14:00:00,3.92
2024-03-05 15:00:00,3.845
2024-03-05 16:00:00,4.092
2024-03-05 17:00:00,3.871
2024-03-05 18:00:00,3.376
2024-03-05 19:00:00,3.29
2024-03-05 20:00:00,3.102
2024-03-05 21:00:00,2.824
2024-03-05 22:00:00,1.557
2024-03-05 23:00:00,1.332
2024-03-06 00:00:00,1.112
2024-03-06 01:00:00,0.909
2024-03-06 02:00:00,0.783
2024-03-06 03:00:00,0.745
2024-03-06 04:00:00,0.919
2024-03-06 05:00:00,1.415
2024-03-06 06:00:00,1.845
2024-03-06 07:00:00,1.895
2024-03-06 08:00:00,2.383
2024-03-06 09:00:00,3.105
2024-03-06 10:00:00,3.289
2024-03-06 11:00:00,3.47
2024-03-06 12:00:00,3.699
2024-03-06 13:00:00,3.721
2024-03-06 14:00:00,4.078
2024-03-06 15:00:00,4.228
2024-03-06 16:00:00,4.318
2024-03-06 17:00:00,4.049
2024-03-06 18:00:00,3.93
2024-03-06 19:00:00,3.763
2024-03-06 20:00:00,3.332
2024-03-06 21:00:00,2.685
2024-03-06 22:00:00,2.042
2024-03-06 23:00:00,1.22
2024-03-07 00:00:00,0.563
2024-03-07 01:00:00,0.958
2024-03-07 02:00:00,0.834
2024-03-07 03:00:00,0.991
2024-03-07 04:00:00,1.079
2024-03-07 05:00:00,1.316
2024-03-07 06:00:00,2.164
2024-03-07 07:00:00,2.384
2024-03-07 08:00:00,2.497
2024-03-07 09:00:00,3.121
2024-03-07 10:00:00,3.418
2024-03-07 11:00:00,3.7
2024-03-07 12:00:00,4.175
2024-03-07 13:00:00,3.861
2024-03-07 14:00:00,3.681
2024-03-07 15:00:00,3.939
2024-03-07 16:00:00,3.828
2024-03-07 17:00:00,4.02
2024-03-07 18:00:00,3.834
2024-03-07 19:00:00,3.562
2024-03-07 20:00:00,2.917
2024-03-07 21:00:00,2.496
2024-03-07 22:00:00,1.732
2024-03-07 23:00:00,1.428
2024-03-08 00:00:00,0.797
2024-03-08 01:00:00,0.599
2024-03-08 02:00:00,0.941
2024-03-08 03:00:00,0.874
2024-03-08 04:00:00,1.499
2024-03-08 05:00:00,1.63
2024-03-08 06:00:00,1.996
2024-03-08 07:00:00,2.318
2024-03-08 08:00:00,2.678
2024-03-08 09:00:00,2.621
2024-03-08 10:00:00,3.582
2024-03-08 11:00:00,3.46
2024-03-08 12:00:00,3.945
2024-03-08 13:00:00,3.752
2024-03-08 14:00:00,3.886
2024-03-08 15:00:00,3.892
2024-03-08 16:00:00,3.758
2024-03-08 17:00:00,3.89
2024-03-08 18:00:00,3.882
2024-03-08 19:00:00,3.425
2024-03-08 20:00:00,2.792
2024-03-08 21:00:00,2.318
2024-03-08 22:00:00,1.868
2024-03-08 23:00:00,1.541
2024-03-09 00:00:00,0.502
2024-03-09 01:00:00,0.352
2024-03-09 02:00:00,0.2
2024-03-09 03:00:00,0.664
2024-03-09 04:00:00,0.744
2024-03-09 05:00:00,1.007
2024-03-09 06:00:00,1.576
2024-03-09 07:00:00,1.911
2024-03-09 08:00:00,2.278
2024-03-09 09:00:00,2.343
2024-03-09 10:00:00,2.753
2024-03-09 11:00:00,2.8
2024-03-09 12:00:00,3.308
2024-03-09 13:00:00,3.372
2024-03-09 14:00:00,3.579
2024-03-09 15:00:00,3.471
2024-03-09 16:00:00,3.379
2024-03-09 17:00:00,3.801
2024-03-09 18:00:00,3.111
2024-03-09 19:00:00,2.759
2024-03-09 20:00:00,2.41
2024-03-09 21:00:00,2.016
2024-03-09 22:00:00,1.261
2024-03-09 23:00:00,0.755
2024-03-10 00:00:00,0.2
2024-03-10 01:00:00,0.565
2024-03-10 08:00:00,2.108
2024-03-10 09:00:00,2.541
2024-03-10 10:00:00,2.796
2024-03-10 11:00:00,3.072
2024-03-10 12:00:00,3.42
2024-03-10 13:00:00,3.463
2024-03-10 14:00:00,3.35
2024-03-10 15:00:00,3.265
2024-03-10 16:00:00,3.421
2024-03-10 17:00:00,3.571
2024-03-10 18:00:00,3.293
2024-03-10 19:00:00,2.977
2024-03-10 20:00:00,2.194
2024-03-10 21:00:00,2.1
2024-03-10 22:00:00,1.055
2024-03-10 23:00:00,0.604
2024-03-11 00:00:00,0.783
2024-03-11 01:00:00,0.806
2024-03-11 02:00:00,0.859
2024-03-11 03:00:00,0.863
2024-03-11 04:00:00,1.183
2024-03-11 05:00:00,1.441
2024-03-11 06:00:00,1.586
2024-03-11 07:00:00,2.254
2024-03-11 08:00:00,2.563
2024-03-11 09:00:00,3.126
2024-03-11 10:00:00,3.336
2024-03-11 11:00:00,3.78
2024-03-11 12:00:00,3.898
2024-03-11 13:00:00,4.029
2024-03-11 14:00:00,4.129
2024-03-11 15:00:00,4.057
2024-03-11 16:00:00,3.915
2024-03-11 17:00:00,4.165
2024-03-11 18:00:00,3.629
2024-03-11 19:00:00,3.494
2024-03-11 20:00:00,3.174
2024-03-11 21:00:00,2.37
2024-03-11 22:00:00,1.952
2024-03-11 23:00:00,1.19
2024-03-12 00:00:00,0.754
2024-03-12 01:00:00,0.898
2024-03-12 02:00:00,0.979
2024-03-12 03:00:00,1.216
2024-03-12 04:00:00,1.227
2024-03-12 05:00:00,1.604
2024-03-12 06:00:00,2.024
2024-03-12 07:00:00,2.384
2024-03-12 08:00:00,2.454
2024-03-12 09:00:00,2.948
2024-03-12 10:00:00,3.622
2024-03-12 11:00:00,3.382
2024-03-12 12:00:00,3.886
2024-03-12 13:00:00,3.791
2024-03-12 14:00:00,4.092
2024-03-12 15:00:00,3.793
2024-03-12 16:00:00,3.954
2024-03-12 17:00:00,3.557
2024-03-12 18:00:00,3.788
2024-03-12 19:00:00,3.693
2024-03-12 20:00:00,2.749
2024-03-12 21:00:00,2.635
2024-03-12 22:00:00,1.695
2024-03-12 23:00:00,1.325
2024-03-13 00:00:00,0.352
2024-03-13 01:00:00,0.994
2024-03-13 02:00:00,0.693
2024-03-13 03:00:00,0.904
2024-03-13 04:00:00,1.009
2024-03-13 05:00:00,1.371
2024-03-13 06:00:00,2.118
2024-03-13 07:00:00,2.208
2024-03-13 08:00:00,2.849
2024-03-13 09:00:00,3.019
2024-03-13 10:00:00,3.425
2024-03-13 11:00:00,3.515
2024-03-13 12:00:00,3.85
2024-03-13 13:00:00,4.333
2024-03-13 14:00:00,4.029
2024-03-13 15:00:00,4.024
2024-03-13 16:00:00,3.859
2024-03-13 17:00:00,4.103
2024-03-13 18:00:00,4.041
2024-03-13 19:00:00,3.194
2024-03-13 20:00:00,2.771
2024-03-13 21:00:00,2.8
2024-03-13 22:00:00,1.9
2024-03-13 23:00:00,1.358
2024-03-14 00:00:00,0.952
2024-03-14 01:00:00,0.997
2024-03-14 02:00:00,0.995
2024-03-14 03:00:00,0.961
2024-03-14 04:00:00,1.611
2024-03-14 05:00:00,1.552
2024-03-14 06:00:00,1.754
2024-03-14 07:00:00,2.2
2024-03-14 08:00:00,2.664
2024-03-14 09:00:00,2.982
2024-03-14 10:00:00,3.329
2024-03-14 11:00:00,3.663
2024-03-14 12:00:00,3.182
2024-03-14 13:00:00,3.727
2024-03-14 14:00:00,4.082
2024-03-14 15:00:00,4.034
2024-03-14 16:00:00,3.822
2024-03-14 17:00:00,3.809
2024-03-14 18:00:00,4.001
2024-03-14 19:00:00,3.455
2024-03-14 20:00:00,2.924
2024-03-14 21:00:00,2.755
2024-03-14 22:00:00,1.757
2024-03-14 23:00:00,1.458
2024-03-15 00:00:00,0.843
2024-03-15 01:00:00,0.809
2024-03-15 02:00:00,0.681
2024-03-15 03:00:00,0.852
2024-03-15 04:00:00,1.466
2024-03-15 05:00:00,1.345
2024-03-15 06:00:00,1.962
2024-03-15 07:00:00,2.085
2024-03-15 08:00:00,2.645
2024-03-15 09:00:00,3.044
2024-03-15 10:00:00,3.069
2024-03-15 11:00:00,3.81
2024-03-15 12:00:00,3.74
2024-03-15 13:00:00,4.086
2024-03-15 14:00:00,3.743
2024-03-15 15:00:00,4.097
2024-03-15 16:00:00,4.365
2024-03-15 17:00:00,3.96
2024-03-15 18:00:00,3.679
2024-03-15 19:00:00,3.586
2024-03-15 20:00:00,3.045
2024-03-15 21:00:00,2.384
2024-03-15 22:00:00,1.802
2024-03-15 23:00:00,1.23
2024-03-16 00:00:00,0.427
2024-03-16 01:00:00,0.23
2024-03-16 02:00:00,0.2
2024-03-16 03:00:00,0.648
2024-03-16 04:00:00,0.709
2024-03-16 05:00:00,1.526
2024-03-16 06:00:00,1.367
2024-03-16 07:00:00,1.671
2024-03-16 08:00:00,2.089
2024-03-16 09:00:00,2.617
2024-03-16 10:00:00,2.737
2024-03-16 11:00:00,2.879
2024-03-16 12:00:00,3.568
2024-03-16 13:00:00,3.144
2024-03-16 14:00:00,3.684
2024-03-16 15:00:00,3.458
2024-03-16 16:00:00,3.254
2024-03-16 17:00:00,3.721
2024-03-16 18:00:00,3.259
2024-03-16 19:00:00,2.819
2024-03-16 20:00:00,2.531
2024-03-16 21:00:00,2.153
2024-03-16 22:00:00,1.447
2024-03-16 23:00:00,0.983
2024-03-17 00:00:00,0.667
2024-03-17 01:00:00,0.339
2024-03-17 02:00:00,0.419
2024-03-17 03:00:00,0.46
2024-03-17 04:00:00,0.477
2024-03-17 05:00:00,1.024
2024-03-17 06:00:00,1.703
2024-03-17 07:00:00,1.488
2024-03-17 08:00:00,2.43
2024-03-17 09:00:00,2.597
2024-03-17 10:00:00,2.699
2024-03-17 11:00:00,3.118
2024-03-17 12:00:00,3.592
2024-03-17 13:00:00,3.264
2024-03-17 14:00:00,3.554
2024-03-17 15:00:00,3.636
2024-03-17 16:00:00,3.283
2024-03-17 17:00:00,3.535
2024-03-17 18:00:00,3.392
2024-03-17 19:00:00,2.915
2024-03-17 20:00:00,2.643
2024-03-17 21:00:00,1.856
2024-03-17 22:00:00,1.22
2024-03-17 23:00:00,0.612
2024-03-18 00:00:00,0.92
2024-03-18 01:00:00,0.723
2024-03-18 02:00:00,0.751
2024-03-18 03:00:00,0.794
2024-03-18 04:00:00,0.994
2024-03-18 05:00:00,1.408
2024-03-18 06:00:00,2.043
2024-03-18 07:00:00,2.154
2024-03-18 08:00:00,2.948
2024-03-18 09:00:00,3.124
2024-03-18 10:00:00,3.391
2024-03-18 11:00:00,3.39
2024-03-18 12:00:00,4.124
2024-03-18 13:00:00,3.608
2024-03-18 14:00:00,4.007
2024-03-18 15:00:00,4.238
2024-03-18 16:00:00,3.909
2024-03-18 17:00:00,3.798
2024-03-18 18:00:00,3.793
2024-03-18 19:00:00,3.665
2024-03-18 20:00:00,3.264
2024-03-18 21:00:00,2.53
2024-03-18 22:00:00,1.631
2024-03-18 23:00:00,1.213
2024-03-19 00:00:00,0.888
2024-03-19 01:00:00,0.57
2024-03-19 02:00:00,0.808
2024-03-19 03:00:00,1.404
2024-03-19 04:00:00,1.049
2024-03-19 05:00:00,1.759
2024-03-19 06:00:00,1.744
2024-03-19 07:00:00,2.239
2024-03-19 08:00:00,2.676
2024-03-19 09:00:00,2.779
2024-03-19 10:00:00,3.344
2024-03-19 11:00:00,3.84
2024-03-19 12:00:00,3.902
2024-03-19 13:00:00,3.993
2024-03-19 14:00:00,3.766
2024-03-19 15:00:00,3.907
2024-03-19 16:00:00,3.981
2024-03-19 17:00:00,4.044
2024-03-19 18:00:00,4.038
2024-03-19 19:00:00,3.32
2024-03-19 20:00:00,3.325
2024-03-19 21:00:00,2.37
2024-03-19 22:00:00,1.778
2024-03-19 23:00:00,1.117
2024-03-20 00:00:00,0.839
2024-03-20 01:00:00,0.759
2024-03-20 02:00:00,0.629
2024-03-20 03:00:00,0.949
2024-03-20 04:00:00,1.261
2024-03-20 05:00:00,1.476
2024-03-20 06:00:00,2.052
2024-03-20 07:00:00,2.116
2024-03-20 08:00:00,2.848
2024-03-20 09:00:00,3.017
2024-03-20 10:00:00,3.43
2024-03-20 11:00:00,3.274
2024-03-20 12:00:00,3.796
2024-03-20 13:00:00,3.856
2024-03-20 14:00:00,4.08
2024-03-20 15:00:00,3.72
2024-03-20 16:00:00,4.19
2024-03-20 17:00:00,3.727
2024-03-20 18:00:00,4.033
2024-03-20 19:00:00,3.604
2024-03-20 20:00:00,2.884
2024-03-20 21:00:00,2.812
2024-03-20 22:00:00,1.608
2024-03-20 23:00:00,1.304
2024-03-21 00:00:00,0.888
2024-03-21 01:00:00,0.894
2024-03-21 02:00:00,0.892
2024-03-21 03:00:00,1.145
2024-03-21 04:00:00,1.322
2024-03-21 05:00:00,1.556
2024-03-21 06:00:00,1.744
2024-03-21 07:00:00,2.238
2024-03-21 08:00:00,2.851
2024-03-21 09:00:00,2.84
2024-03-21 10:00:00,3.382
2024-03-21 11:00:00,3.237
2024-03-21 12:00:00,3.647
2024-03-21 13:00:00,3.575
2024-03-21 14:00:00,4.135
2024-03-21 15:00:00,3.605
2024-03-21 16:00:00,3.902
2024-03-21 17:00:00,4.052
2024-03-21 18:00:00,3.906
2024-03-21 19:00:00,3.639
2024-03-21 20:00:00,3.211
2024-03-21 21:00:00,2.507
2024-03-21 22:00:00,1.974
2024-03-21 23:00:00,1.325
2024-03-22 00:00:00,0.846
2024-03-22 01:00:00,0.483
2024-03-22 02:00:00,0.881
2024-03-22 03:00:00,1.229
2024-03-22 04:00:00,1.105
2024-03-22 05:00:00,1.339
2024-03-22 06:00:00,1.928
2024-03-22 07:00:00,2.504
2024-03-22 08:00:00,2.905
2024-03-22 09:00:00,2.78
2024-03-22 10:00:00,3.444
2024-03-22 11:00:00,3.488
2024-03-22 12:00:00,3.823
2024-03-22 13:00:00,3.461
2024-03-22 19:00:00,3.595
2024-03-22 20:00:00,2.933
2024-03-22 21:00:00,2.297
2024-03-22 22:00:00,1.942
2024-03-22 23:00:00,1.32
2024-03-23 00:00:00,0.225
2024-03-23 01:00:00,0.469
2024-03-23 02:00:00,0.245
2024-03-23 03:00:00,0.495
2024-03-23 04:00:00,0.871
2024-03-23 05:00:00,1.22
2024-03-23 06:00:00,1.628
2024-03-23 07:00:00,2.098
2024-03-23 08:00:00,2.196
2024-03-23 09:00:00,2.407
2024-03-23 10:00:00,3.159
2024-03-23 11:00:00,3.357
2024-03-23 12:00:00,3.219
2024-03-23 13:00:00,3.494
2024-03-23 14:00:00,3.343
2024-03-23 15:00:00,3.152
2024-03-23 16:00:00,3.632
2024-03-23 17:00:00,3.484
2024-03-23 18:00:00,3.318
2024-03-23 19:00:00,3.304
2024-03-23 20:00:00,2.777
2024-03-23 21:00:00,1.806
2024-03-23 22:00:00,1.124
2024-03-23 23:00:00,0.494
2024-03-24 00:00:00,0.352
2024-03-24 01:00:00,0.23
2024-03-24 02:00:00,0.416
2024-03-24 03:00:00,0.503
2024-03-24 04:00:00,0.621
2024-03-24 05:00:00,0.977
2024-03-24 06:00:00,1.131
2024-03-24 07:00:00,2.021
2024-03-24 08:00:00,2.092
2024-03-24 09:00:00,2.661
2024-03-24 10:00:00,2.744
2024-03-24 11:00:00,3.119
2024-03-24 12:00:00,3.386
2024-03-24 13:00:00,3.318
2024-03-24 14:00:00,3.265
2024-03-24 15:00:00,3.851
2024-03-24 16:00:00,3.409
2024-03-24 17:00:00,3.524
2024-03-24 18:00:00,3.281
2024-03-24 19:00:00,2.861
2024-03-24 20:00:00,2.756
2024-03-24 21:00:00,1.992
2024-03-24 22:00:00,1.385
2024-03-24 23:00:00,0.425
2024-03-25 00:00:00,0.903
2024-03-25 01:00:00,0.951
2024-03-25 02:00:00,0.902
2024-03-25 03:00:00,0.974
2024-03-25 04:00:00,1.454
2024-03-25 05:00:00,1.594
2024-03-25 06:00:00,2.016
2024-03-25 07:00:00,2.487
2024-03-25 08:00:00,2.868
2024-03-25 09:00:00,2.814
2024-03-25 10:00:00,3.423
2024-03-25 11:00:00,3.469
2024-03-25 12:00:00,3.411
2024-03-25 13:00:00,3.919
2024-03-25 14:00:00,3.598
2024-03-25 15:00:00,3.849
2024-03-25 16:00:00,3.493
2024-03-25 17:00:00,3.738
2024-03-25 18:00:00,3.711
2024-03-25 19:00:00,3.499
2024-03-25 20:00:00,2.922
2024-03-25 21:00:00,2.255
2024-03-25 22:00:00,1.661
2024-03-25 23:00:00,1.61
2024-03-26 00:00:00,0.766
2024-03-26 01:00:00,0.782
2024-03-26 02:00:00,1.19
2024-03-26 03:00:00,0.687
2024-03-26 04:00:00,0.867
2024-03-26 05:00:00,1.366
2024-03-26 06:00:00,1.841
2024-03-26 07:00:00,2.093
2024-03-26 08:00:00,2.681
2024-03-26 09:00:00,3.034
2024-03-26 10:00:00,3.083
2024-03-26 11:00:00,3.635
2024-03-26 12:00:00,3.514
2024-03-26 13:00:00,3.993
2024-03-26 14:00:00,3.951
2024-03-26 15:00:00,4.326
2024-03-26 16:00:00,4.093
2024-03-26 17:00:00,3.883
2024-03-26 18:00:00,3.857
2024-03-26 19:00:00,3.525
2024-03-26 20:00:00,2.885
2024-03-26 21:00:00,2.158
2024-03-26 22:00:00,2.02
2024-03-26 23:00:00,1.607
2024-03-27 00:00:00,0.766
2024-03-27 01:00:00,0.752
2024-03-27 02:00:00,0.763
2024-03-27 03:00:00,1.182
2024-03-27 04:00:00,1.456
2024-03-27 05:00:00,1.392
2024-03-27 06:00:00,1.849
2024-03-27 07:00:00,2.202
2024-03-27 08:00:00,2.726
2024-03-27 09:00:00,3.188
2024-03-27 10:00:00,3.554
2024-03-27 11:00:00,3.555
2024-03-27 12:00:00,3.595
2024-03-27 13:00:00,3.963
2024-03-27 14:00:00,4.017
2024-03-27 15:00:00,3.869
2024-03-27 16:00:00,3.974
2024-03-27 17:00:00,3.985
2024-03-27 18:00:00,3.954
2024-03-27 19:00:00,3.512
2024-03-27 20:00:00,3.107
2024-03-27 21:00:00,2.453
2024-03-27 22:00:00,1.649
2024-03-27 23:00:00,1.461
2024-03-28 00:00:00,0.869
2024-03-28 01:00:00,0.99
2024-03-28 02:00:00,0.637
2024-03-28 03:00:00,0.874
2024-03-28 04:00:00,1.298
2024-03-28 05:00:00,1.241
2024-03-28 06:00:00,1.888
2024-03-28 07:00:00,2.219
2024-03-28 08:00:00,2.614
2024-03-28 09:00:00,3.005
2024-03-28 10:00:00,2.961
2024-03-28 11:00:00,3.614
2024-03-28 12:00:00,3.786
2024-03-28 13:00:00,4.056
2024-03-28 14:00:00,4.171
2024-03-28 15:00:00,3.997
2024-03-28 16:00:00,4.111
2024-03-28 17:00:00,3.49
2024-03-28 18:00:00,3.894
2024-03-28 19:00:00,3.699
2024-03-28 20:00:00,3.176
2024-03-28 21:00:00,2.464
2024-03-28 22:00:00,1.759
2024-03-28 23:00:00,1.269
2024-03-29 00:00:00,0.855
2024-03-29 01:00:00,0.877
2024-03-29 02:00:00,0.954
2024-03-29 03:00:00,0.984
2024-03-29 04:00:00,1.013
2024-03-29 05:00:00,1.878
2024-03-29 06:00:00,1.756
2024-03-29 07:00:00,1.818
2024-03-29 08:00:00,2.945
2024-03-29 09:00:00,3.233
2024-03-29 10:00:00,3.396
2024-03-29 11:00:00,3.781
2024-03-29 12:00:00,3.853
2024-03-29 13:00:00,3.717
2024-03-29 14:00:00,3.932
2024-03-29 15:00:00,3.71
2024-03-29 16:00:00,3.828
2024-03-29 17:00:00,3.765
2024-03-29 18:00:00,3.824
2024-03-29 19:00:00,3.691
2024-03-29 20:00:00,2.903
2024-03-29 21:00:00,2.504
2024-03-29 22:00:00,1.44
2024-03-29 23:00:00,1.142
2024-03-30 00:00:00,0.447
2024-03-30 01:00:00,0.472
2024-03-30 02:00:00,0.521
2024-03-30 03:00:00,0.693
2024-03-30 04:00:00,0.444
2024-03-30 05:00:00,0.956
2024-03-30 06:00:00,0.947
2024-03-30 07:00:00,1.772
2024-03-30 08:00:00,2.231
2024-03-30 09:00:00,2.489
2024-03-30 10:00:00,2.696
2024-03-30 11:00:00,3.184
2024-03-30 12:00:00,3.368
2024-03-30 13:00:00,3.391
2024-03-30 14:00:00,3.303
2024-03-30 15:00:00,3.44
2024-03-30 16:00:00,3.46
2024-03-30 17:00:00,3.469
2024-03-30 18:00:00,3.408
2024-03-30 19:00:00,2.995
2024-03-30 20:00:00,2.259
2024-03-30 21:00:00,1.872
2024-03-30 22:00:00,1.39
2024-03-30 23:00:00,0.755
