Order_ID,Product,Price_Each,Quantity_Ordered,Order_Date,Purchase_Address,Total_Sales
10047,Shoe,3500,1.0,2025-01-15,"Adama, Ethiopia",3500.0
10048,Samsung S22,38000,3.0,2025-05-12,Unkown-Adress,114000.0
10049,Laptop Bag,2500,3.0,2025-03-22,"Bole, Addis Ababa",7500.0
10050,iPhone 13,45000,2.0,Unknown-Date,Unkown-Adress,90000.0
10051,Shoe,3500,3.0,2025-05-12,Unkown-Adress,10500.0
10052,Laptop Bag,2500,1.0,2025-04-05,Unkown-Adress,2500.0
10053,Samsung S22,38000,1.0,Unknown-Date,"Megenagna, Addis Ababa",38000.0
10054,Wireless Mouse,1200,3.0,2025-04-05,Unkown-Adress,3600.0
10055,iPhone 13,45000,2.0,Unknown-Date,"Bahir Dar, Ethiopia",90000.0
10056,Shoe,3500,1.0,2025-05-12,Unkown-Adress,3500.0
10057,MacBook Pro,120000,1.0,Unknown-Date,"Mekelle, Ethiopia",120000.0
10058,Shoe,3500,3.0,2025-01-15,Unkown-Adress,10500.0
10059,MacBook Pro,120000,2.0,Unknown-Date,"Bahir Dar, Ethiopia",240000.0
10060,MacBook Pro,120000,1.0,2025-05-12,Unkown-Adress,120000.0
10061,Laptop Bag,2500,3.0,Unknown-Date,"Bahir Dar, Ethiopia",7500.0
10062,Laptop Bag,2500,1.0,Unknown-Date,"Bahir Dar, Ethiopia",2500.0
10063,Wireless Mouse,1200,1.0,2025-02-10,"Hawassa, Ethiopia",1200.0
10064,Samsung S22,38000,1.0,Unknown-Date,"Hawassa, Ethiopia",38000.0
10065,Samsung S22,38000,3.0,Unknown-Date,"Adama, Ethiopia",114000.0
10066,iPhone 13,45000,3.0,Unknown-Date,"Mekelle, Ethiopia",135000.0
10067,Samsung S22,38000,3.0,2025-01-15,"Bole, Addis Ababa",114000.0
10068,MacBook Pro,120000,3.0,Unknown-Date,Unkown-Adress,360000.0
10069,MacBook Pro,120000,3.0,2025-03-22,"Mekelle, Ethiopia",360000.0
10070,Shoe,3500,3.0,2025-05-12,Unkown-Adress,10500.0
10071,MacBook Pro,120000,3.0,2025-02-10,"Adama, Ethiopia",360000.0
10072,Samsung S22,38000,3.0,2025-01-15,"Bahir Dar, Ethiopia",114000.0
10073,Wireless Mouse,1200,1.0,2025-05-12,Unkown-Adress,1200.0
10074,Wireless Mouse,1200,3.0,Unknown-Date,Unkown-Adress,3600.0
10075,Wireless Mouse,1200,1.0,2025-01-15,Unkown-Adress,1200.0
10076,Shoe,3500,1.0,2025-05-12,"Bahir Dar, Ethiopia",3500.0
10077,Wireless Mouse,1200,2.0,2025-01-15,"Adama, Ethiopia",2400.0
10078,MacBook Pro,120000,1.0,2025-04-05,Unkown-Adress,120000.0
10079,Shoe,3500,1.0,2025-04-05,"Megenagna, Addis Ababa",3500.0
10080,MacBook Pro,120000,2.0,Unknown-Date,Unkown-Adress,240000.0
10081,iPhone 13,45000,3.0,2025-01-15,Unkown-Adress,135000.0
10082,iPhone 13,45000,3.0,Unknown-Date,Unkown-Adress,135000.0
10083,Samsung S22,38000,1.0,Unknown-Date,Unkown-Adress,38000.0
10084,Samsung S22,38000,3.0,2025-01-15,Unkown-Adress,114000.0
10085,iPhone 13,45000,3.0,2025-01-15,Unkown-Adress,135000.0
10086,Samsung S22,38000,1.0,Unknown-Date,Unkown-Adress,38000.0
10087,Shoe,3500,1.0,Unknown-Date,Unkown-Adress,3500.0
10088,MacBook Pro,120000,3.0,2025-03-22,Unkown-Adress,360000.0
10089,Wireless Mouse,1200,3.0,2025-04-05,Unkown-Adress,3600.0
10090,MacBook Pro,120000,1.0,Unknown-Date,Unkown-Adress,120000.0
10091,Laptop Bag,2500,1.0,Unknown-Date,"Mekelle, Ethiopia",2500.0
10092,Wireless Mouse,1200,1.0,2025-04-05,"Mekelle, Ethiopia",1200.0
10093,Samsung S22,38000,2.0,Unknown-Date,"Bahir Dar, Ethiopia",76000.0
10094,MacBook Pro,120000,1.0,2025-01-15,"Hawassa, Ethiopia",120000.0
10095,iPhone 13,45000,1.0,Unknown-Date,"Hawassa, Ethiopia",45000.0
10096,Shoe,3500,1.0,2025-04-05,Unkown-Adress,3500.0
10097,Samsung S22,38000,3.0,2025-05-12,Unkown-Adress,114000.0
10098,Laptop Bag,2500,3.0,2025-05-12,"Hawassa, Ethiopia",7500.0
10099,iPhone 13,45000,1.0,Unknown-Date,Unkown-Adress,45000.0
10100,Laptop Bag,2500,1.0,Unknown-Date,Unkown-Adress,2500.0
10101,Wireless Mouse,1200,2.0,Unknown-Date,"Megenagna, Addis Ababa",2400.0
10102,Laptop Bag,2500,3.0,2025-04-05,"Megenagna, Addis Ababa",7500.0
10103,MacBook Pro,120000,2.0,Unknown-Date,Unkown-Adress,240000.0
10104,iPhone 13,45000,3.0,Unknown-Date,"Bahir Dar, Ethiopia",135000.0
10105,Wireless Mouse,1200,1.0,Unknown-Date,Unkown-Adress,1200.0
10106,iPhone 13,45000,1.0,Unknown-Date,Unkown-Adress,45000.0
10107,iPhone 13,45000,2.0,Unknown-Date,Unkown-Adress,90000.0
10108,Samsung S22,38000,3.0,2025-04-05,Unkown-Adress,114000.0
10109,Wireless Mouse,1200,1.0,2025-01-15,Unkown-Adress,1200.0
10110,Shoe,3500,3.0,Unknown-Date,"Megenagna, Addis Ababa",10500.0
10111,MacBook Pro,120000,3.0,Unknown-Date,Unkown-Adress,360000.0
10112,Laptop Bag,2500,3.0,Unknown-Date,"Adama, Ethiopia",7500.0
10113,Samsung S22,38000,1.0,2025-05-12,"Mekelle, Ethiopia",38000.0
10114,Wireless Mouse,1200,1.0,2025-02-10,"Hawassa, Ethiopia",1200.0
10115,Laptop Bag,2500,1.0,Unknown-Date,Unkown-Adress,2500.0
10116,MacBook Pro,120000,1.0,Unknown-Date,"Mekelle, Ethiopia",120000.0
10117,MacBook Pro,120000,1.0,2025-05-12,Unkown-Adress,120000.0
10118,Shoe,3500,3.0,2025-04-05,"Megenagna, Addis Ababa",10500.0
10119,Shoe,3500,1.0,2025-02-10,Unkown-Adress,3500.0
10120,Wireless Mouse,1200,1.0,2025-03-22,Unkown-Adress,1200.0
10121,MacBook Pro,120000,1.0,Unknown-Date,"Bahir Dar, Ethiopia",120000.0
10122,iPhone 13,45000,1.0,2025-03-22,"Bole, Addis Ababa",45000.0
10123,MacBook Pro,120000,1.0,2025-04-05,Unkown-Adress,120000.0
10124,Wireless Mouse,1200,1.0,2025-01-15,"Bole, Addis Ababa",1200.0
10125,Laptop Bag,2500,1.0,Unknown-Date,Unkown-Adress,2500.0
10126,Shoe,3500,2.0,2025-02-10,"Bahir Dar, Ethiopia",7000.0
10127,iPhone 13,45000,1.0,Unknown-Date,Unkown-Adress,45000.0
10128,Samsung S22,38000,1.0,2025-05-12,Unkown-Adress,38000.0
10129,iPhone 13,45000,1.0,Unknown-Date,"Bahir Dar, Ethiopia",45000.0
10130,Wireless Mouse,1200,2.0,Unknown-Date,"Bahir Dar, Ethiopia",2400.0
10131,Samsung S22,38000,1.0,2025-01-15,Unkown-Adress,38000.0
10132,Samsung S22,38000,1.0,Unknown-Date,Unkown-Adress,38000.0
10133,Laptop Bag,2500,1.0,Unknown-Date,"Adama, Ethiopia",2500.0
10134,Laptop Bag,2500,3.0,Unknown-Date,Unkown-Adress,7500.0
10135,Samsung S22,38000,3.0,Unknown-Date,"Adama, Ethiopia",114000.0
10136,MacBook Pro,120000,3.0,Unknown-Date,Unkown-Adress,360000.0
10137,MacBook Pro,120000,3.0,Unknown-Date,Unkown-Adress,360000.0
10138,MacBook Pro,120000,3.0,Unknown-Date,"Hawassa, Ethiopia",360000.0
10139,Shoe,3500,1.0,Unknown-Date,"Bole, Addis Ababa",3500.0
10140,Wireless Mouse,1200,1.0,Unknown-Date,"Megenagna, Addis Ababa",1200.0
10141,Samsung S22,38000,2.0,Unknown-Date,Unkown-Adress,76000.0
10142,Shoe,3500,2.0,2025-03-22,"Bahir Dar, Ethiopia",7000.0
10143,iPhone 13,45000,1.0,2025-02-10,Unkown-Adress,45000.0
10144,Wireless Mouse,1200,3.0,Unknown-Date,"Bole, Addis Ababa",3600.0
10145,iPhone 13,45000,3.0,2025-03-22,"Hawassa, Ethiopia",135000.0
10146,MacBook Pro,120000,2.0,Unknown-Date,"Adama, Ethiopia",240000.0
10147,Laptop Bag,2500,1.0,2025-04-05,Unkown-Adress,2500.0
10148,Wireless Mouse,1200,3.0,Unknown-Date,"Bole, Addis Ababa",3600.0
10149,Samsung S22,38000,1.0,Unknown-Date,Unkown-Adress,38000.0
10150,MacBook Pro,120000,1.0,Unknown-Date,"Hawassa, Ethiopia",120000.0
10151,Wireless Mouse,1200,2.0,Unknown-Date,"Hawassa, Ethiopia",2400.0
10152,iPhone 13,45000,1.0,2025-05-12,Unkown-Adress,45000.0
10153,Laptop Bag,2500,1.0,Unknown-Date,"Adama, Ethiopia",2500.0
10154,Laptop Bag,2500,3.0,Unknown-Date,Unkown-Adress,7500.0
10155,Wireless Mouse,1200,1.0,Unknown-Date,"Adama, Ethiopia",1200.0
10156,iPhone 13,45000,1.0,Unknown-Date,"Bole, Addis Ababa",45000.0
10157,Samsung S22,38000,3.0,Unknown-Date,Unkown-Adress,114000.0
10158,Wireless Mouse,1200,1.0,2025-04-05,"Adama, Ethiopia",1200.0
10159,MacBook Pro,120000,1.0,Unknown-Date,"Mekelle, Ethiopia",120000.0
10160,Shoe,3500,1.0,2025-04-05,"Bahir Dar, Ethiopia",3500.0
10161,Samsung S22,38000,3.0,2025-05-12,Unkown-Adress,114000.0
10162,Samsung S22,38000,1.0,Unknown-Date,"Megenagna, Addis Ababa",38000.0
10163,Laptop Bag,2500,2.0,Unknown-Date,"Hawassa, Ethiopia",5000.0
10164,MacBook Pro,120000,1.0,2025-02-10,"Bahir Dar, Ethiopia",120000.0
10165,Wireless Mouse,1200,3.0,Unknown-Date,"Bahir Dar, Ethiopia",3600.0
10166,iPhone 13,45000,1.0,2025-05-12,Unkown-Adress,45000.0
10167,Laptop Bag,2500,1.0,Unknown-Date,Unkown-Adress,2500.0
10168,MacBook Pro,120000,2.0,Unknown-Date,"Bole, Addis Ababa",240000.0
10169,MacBook Pro,120000,3.0,2025-02-10,"Bole, Addis Ababa",360000.0
10170,iPhone 13,45000,1.0,2025-03-22,"Bahir Dar, Ethiopia",45000.0
10171,Samsung S22,38000,2.0,2025-03-22,"Bole, Addis Ababa",76000.0
10172,Wireless Mouse,1200,1.0,2025-04-05,Unkown-Adress,1200.0
10173,iPhone 13,45000,1.0,Unknown-Date,Unkown-Adress,45000.0
10174,Laptop Bag,2500,1.0,2025-04-05,"Adama, Ethiopia",2500.0
10175,Samsung S22,38000,3.0,2025-04-05,Unkown-Adress,114000.0
10176,Shoe,3500,1.0,2025-01-15,Unkown-Adress,3500.0
10177,iPhone 13,45000,1.0,2025-04-05,"Mekelle, Ethiopia",45000.0
10178,MacBook Pro,120000,2.0,Unknown-Date,Unkown-Adress,240000.0
10179,Samsung S22,38000,1.0,2025-04-05,Unkown-Adress,38000.0
10180,Laptop Bag,2500,2.0,Unknown-Date,Unkown-Adress,5000.0
10181,MacBook Pro,120000,1.0,Unknown-Date,"Bahir Dar, Ethiopia",120000.0
10182,MacBook Pro,120000,1.0,2025-03-22,"Mekelle, Ethiopia",120000.0
10183,iPhone 13,45000,3.0,Unknown-Date,Unkown-Adress,135000.0
10184,Laptop Bag,2500,3.0,2025-04-05,"Bahir Dar, Ethiopia",7500.0
10185,iPhone 13,45000,1.0,2025-02-10,"Adama, Ethiopia",45000.0
10186,Wireless Mouse,1200,2.0,2025-01-15,Unkown-Adress,2400.0
10187,iPhone 13,45000,1.0,Unknown-Date,Unkown-Adress,45000.0
10188,iPhone 13,45000,3.0,2025-05-12,Unkown-Adress,135000.0
10189,Samsung S22,38000,3.0,2025-04-05,Unkown-Adress,114000.0
10190,iPhone 13,45000,1.0,Unknown-Date,Unkown-Adress,45000.0
10191,Wireless Mouse,1200,1.0,Unknown-Date,Unkown-Adress,1200.0
10192,Laptop Bag,2500,2.0,Unknown-Date,"Megenagna, Addis Ababa",5000.0
10193,iPhone 13,45000,1.0,Unknown-Date,Unkown-Adress,45000.0
10194,Wireless Mouse,1200,2.0,2025-03-22,"Bahir Dar, Ethiopia",2400.0
10195,Shoe,3500,1.0,Unknown-Date,Unkown-Adress,3500.0
10196,Laptop Bag,2500,2.0,Unknown-Date,Unkown-Adress,5000.0
10197,Shoe,3500,2.0,2025-03-22,"Bahir Dar, Ethiopia",7000.0
10198,Samsung S22,38000,2.0,2025-02-10,Unkown-Adress,76000.0
10199,Samsung S22,38000,1.0,2025-03-22,Unkown-Adress,38000.0
10200,Shoe,3500,1.0,Unknown-Date,Unkown-Adress,3500.0
10201,MacBook Pro,120000,1.0,Unknown-Date,Unkown-Adress,120000.0
10202,Wireless Mouse,1200,3.0,Unknown-Date,"Bahir Dar, Ethiopia",3600.0
10203,Wireless Mouse,1200,3.0,Unknown-Date,Unkown-Adress,3600.0
10204,MacBook Pro,120000,3.0,Unknown-Date,Unkown-Adress,360000.0
10205,Laptop Bag,2500,1.0,Unknown-Date,"Megenagna, Addis Ababa",2500.0
10206,Wireless Mouse,1200,2.0,2025-04-05,"Bahir Dar, Ethiopia",2400.0
10207,Samsung S22,38000,1.0,Unknown-Date,Unkown-Adress,38000.0
10208,Shoe,3500,3.0,2025-01-15,Unkown-Adress,10500.0
10209,Samsung S22,38000,3.0,Unknown-Date,"Hawassa, Ethiopia",114000.0
10210,Wireless Mouse,1200,1.0,2025-04-05,Unkown-Adress,1200.0
10211,Laptop Bag,2500,1.0,Unknown-Date,"Bole, Addis Ababa",2500.0
10212,Samsung S22,38000,1.0,Unknown-Date,"Bole, Addis Ababa",38000.0
10213,Wireless Mouse,1200,3.0,2025-01-15,Unkown-Adress,3600.0
10214,Wireless Mouse,1200,1.0,2025-01-15,Unkown-Adress,1200.0
10215,Laptop Bag,2500,3.0,2025-01-15,"Bole, Addis Ababa",7500.0
10216,Shoe,3500,1.0,2025-01-15,Unkown-Adress,3500.0
10217,Samsung S22,38000,3.0,2025-04-05,Unkown-Adress,114000.0
10218,iPhone 13,45000,1.0,2025-02-10,"Bole, Addis Ababa",45000.0
10219,Wireless Mouse,1200,3.0,Unknown-Date,"Megenagna, Addis Ababa",3600.0
10220,Shoe,3500,3.0,Unknown-Date,Unkown-Adress,10500.0
10221,Laptop Bag,2500,1.0,2025-03-22,"Megenagna, Addis Ababa",2500.0
10222,Wireless Mouse,1200,3.0,Unknown-Date,"Bahir Dar, Ethiopia",3600.0
10223,iPhone 13,45000,1.0,Unknown-Date,"Bole, Addis Ababa",45000.0
10224,Laptop Bag,2500,3.0,Unknown-Date,"Bole, Addis Ababa",7500.0
10225,iPhone 13,45000,1.0,2025-03-22,"Bole, Addis Ababa",45000.0
10226,iPhone 13,45000,1.0,2025-03-22,"Hawassa, Ethiopia",45000.0
10227,Wireless Mouse,1200,1.0,Unknown-Date,Unkown-Adress,1200.0
10228,MacBook Pro,120000,3.0,Unknown-Date,"Bole, Addis Ababa",360000.0
10229,iPhone 13,45000,2.0,Unknown-Date,"Mekelle, Ethiopia",90000.0
10230,MacBook Pro,120000,1.0,2025-01-15,"Hawassa, Ethiopia",120000.0
10231,Shoe,3500,1.0,2025-04-05,Unkown-Adress,3500.0
10232,MacBook Pro,120000,1.0,2025-02-10,"Mekelle, Ethiopia",120000.0
10233,iPhone 13,45000,3.0,2025-02-10,Unkown-Adress,135000.0
10234,MacBook Pro,120000,3.0,Unknown-Date,Unkown-Adress,360000.0
10235,iPhone 13,45000,1.0,2025-03-22,"Adama, Ethiopia",45000.0
10236,iPhone 13,45000,1.0,2025-01-15,Unkown-Adress,45000.0
10237,Wireless Mouse,1200,1.0,2025-05-12,Unkown-Adress,1200.0
10238,Shoe,3500,1.0,2025-05-12,"Adama, Ethiopia",3500.0
10239,Wireless Mouse,1200,1.0,2025-04-05,"Hawassa, Ethiopia",1200.0
10240,MacBook Pro,120000,1.0,Unknown-Date,"Adama, Ethiopia",120000.0
10241,Shoe,3500,1.0,2025-03-22,"Mekelle, Ethiopia",3500.0
10242,iPhone 13,45000,1.0,2025-01-15,"Bahir Dar, Ethiopia",45000.0
10243,Laptop Bag,2500,1.0,2025-01-15,"Megenagna, Addis Ababa",2500.0
10244,iPhone 13,45000,3.0,Unknown-Date,Unkown-Adress,135000.0
10245,Wireless Mouse,1200,3.0,Unknown-Date,"Bole, Addis Ababa",3600.0
10246,Laptop Bag,2500,1.0,2025-05-12,"Adama, Ethiopia",2500.0
10247,Laptop Bag,2500,3.0,Unknown-Date,"Megenagna, Addis Ababa",7500.0
10248,Samsung S22,38000,3.0,2025-04-05,"Bahir Dar, Ethiopia",114000.0
10249,MacBook Pro,120000,2.0,2025-04-05,Unkown-Adress,240000.0
10250,MacBook Pro,120000,3.0,Unknown-Date,"Adama, Ethiopia",360000.0
10251,Shoe,3500,1.0,Unknown-Date,"Bahir Dar, Ethiopia",3500.0
10252,Wireless Mouse,1200,1.0,Unknown-Date,"Bole, Addis Ababa",1200.0
10253,Laptop Bag,2500,3.0,2025-02-10,Unkown-Adress,7500.0
10254,Samsung S22,38000,3.0,2025-05-12,"Mekelle, Ethiopia",114000.0
10255,Laptop Bag,2500,3.0,Unknown-Date,"Mekelle, Ethiopia",7500.0
10256,MacBook Pro,120000,1.0,Unknown-Date,Unkown-Adress,120000.0
10257,Samsung S22,38000,3.0,Unknown-Date,"Hawassa, Ethiopia",114000.0
10258,MacBook Pro,120000,1.0,Unknown-Date,"Bahir Dar, Ethiopia",120000.0
10259,MacBook Pro,120000,3.0,Unknown-Date,"Hawassa, Ethiopia",360000.0
10260,Wireless Mouse,1200,2.0,Unknown-Date,"Megenagna, Addis Ababa",2400.0
10261,Shoe,3500,1.0,Unknown-Date,"Bahir Dar, Ethiopia",3500.0
10262,Laptop Bag,2500,1.0,2025-01-15,"Hawassa, Ethiopia",2500.0
10263,iPhone 13,45000,1.0,2025-04-05,Unkown-Adress,45000.0
10264,Laptop Bag,2500,2.0,Unknown-Date,Unkown-Adress,5000.0
10265,Samsung S22,38000,2.0,Unknown-Date,Unkown-Adress,76000.0
10266,MacBook Pro,120000,3.0,2025-01-15,Unkown-Adress,360000.0
10267,MacBook Pro,120000,2.0,2025-02-10,Unkown-Adress,240000.0
10268,MacBook Pro,120000,1.0,Unknown-Date,Unkown-Adress,120000.0
10269,Shoe,3500,3.0,2025-03-22,Unkown-Adress,10500.0
10270,Shoe,3500,3.0,Unknown-Date,Unkown-Adress,10500.0
10271,Laptop Bag,2500,1.0,Unknown-Date,Unkown-Adress,2500.0
10272,Shoe,3500,3.0,Unknown-Date,"Bahir Dar, Ethiopia",10500.0
10273,MacBook Pro,120000,1.0,Unknown-Date,"Adama, Ethiopia",120000.0
10274,Laptop Bag,2500,1.0,Unknown-Date,Unkown-Adress,2500.0
10275,Laptop Bag,2500,1.0,2025-02-10,Unkown-Adress,2500.0
10276,iPhone 13,45000,1.0,2025-01-15,Unkown-Adress,45000.0
10277,Samsung S22,38000,3.0,2025-04-05,"Hawassa, Ethiopia",114000.0
10278,Laptop Bag,2500,1.0,Unknown-Date,"Bole, Addis Ababa",2500.0
10279,Shoe,3500,3.0,Unknown-Date,"Bahir Dar, Ethiopia",10500.0
10280,Shoe,3500,3.0,Unknown-Date,Unkown-Adress,10500.0
10281,Samsung S22,38000,3.0,2025-01-15,Unkown-Adress,114000.0
10282,MacBook Pro,120000,1.0,Unknown-Date,Unkown-Adress,120000.0
10283,Laptop Bag,2500,1.0,2025-02-10,"Bahir Dar, Ethiopia",2500.0
10284,Laptop Bag,2500,1.0,Unknown-Date,Unkown-Adress,2500.0
10285,Laptop Bag,2500,2.0,Unknown-Date,"Mekelle, Ethiopia",5000.0
10286,MacBook Pro,120000,1.0,2025-02-10,"Mekelle, Ethiopia",120000.0
10287,iPhone 13,45000,1.0,Unknown-Date,"Megenagna, Addis Ababa",45000.0
10288,Samsung S22,38000,3.0,2025-01-15,Unkown-Adress,114000.0
10289,MacBook Pro,120000,1.0,Unknown-Date,"Hawassa, Ethiopia",120000.0
10290,Wireless Mouse,1200,3.0,2025-02-10,"Hawassa, Ethiopia",3600.0
10291,Shoe,3500,3.0,2025-01-15,"Hawassa, Ethiopia",10500.0
10292,Shoe,3500,3.0,2025-02-10,"Megenagna, Addis Ababa",10500.0
10293,Laptop Bag,2500,1.0,Unknown-Date,Unkown-Adress,2500.0
10294,MacBook Pro,120000,2.0,2025-01-15,Unkown-Adress,240000.0
10295,Shoe,3500,1.0,Unknown-Date,"Mekelle, Ethiopia",3500.0
10296,Laptop Bag,2500,3.0,2025-02-10,"Hawassa, Ethiopia",7500.0
10297,Shoe,3500,2.0,Unknown-Date,Unkown-Adress,7000.0
10298,Shoe,3500,3.0,Unknown-Date,Unkown-Adress,10500.0
10299,Laptop Bag,2500,2.0,Unknown-Date,Unkown-Adress,5000.0
10300,Wireless Mouse,1200,3.0,2025-02-10,"Mekelle, Ethiopia",3600.0
10301,Laptop Bag,2500,1.0,Unknown-Date,"Mekelle, Ethiopia",2500.0
10302,Wireless Mouse,1200,1.0,Unknown-Date,Unkown-Adress,1200.0
10303,MacBook Pro,120000,1.0,2025-01-15,"Adama, Ethiopia",120000.0
10304,Samsung S22,38000,2.0,Unknown-Date,"Mekelle, Ethiopia",76000.0
10305,Samsung S22,38000,2.0,2025-05-12,"Bole, Addis Ababa",76000.0
10306,Wireless Mouse,1200,3.0,2025-02-10,Unkown-Adress,3600.0
10307,MacBook Pro,120000,1.0,Unknown-Date,"Bahir Dar, Ethiopia",120000.0
10308,Samsung S22,38000,1.0,Unknown-Date,"Hawassa, Ethiopia",38000.0
10309,iPhone 13,45000,1.0,Unknown-Date,"Bahir Dar, Ethiopia",45000.0
10310,Shoe,3500,2.0,2025-03-22,"Mekelle, Ethiopia",7000.0
10311,Shoe,3500,3.0,2025-05-12,"Mekelle, Ethiopia",10500.0
10312,iPhone 13,45000,1.0,Unknown-Date,Unkown-Adress,45000.0
10313,Wireless Mouse,1200,3.0,2025-02-10,Unkown-Adress,3600.0
10314,Samsung S22,38000,1.0,Unknown-Date,"Mekelle, Ethiopia",38000.0
10315,Samsung S22,38000,1.0,Unknown-Date,Unkown-Adress,38000.0
10316,MacBook Pro,120000,1.0,Unknown-Date,"Mekelle, Ethiopia",120000.0
10317,iPhone 13,45000,2.0,Unknown-Date,"Bole, Addis Ababa",90000.0
10318,Laptop Bag,2500,2.0,2025-02-10,"Megenagna, Addis Ababa",5000.0
10319,Wireless Mouse,1200,2.0,Unknown-Date,"Bahir Dar, Ethiopia",2400.0
10320,Shoe,3500,1.0,Unknown-Date,"Bole, Addis Ababa",3500.0
10321,Wireless Mouse,1200,1.0,2025-04-05,"Mekelle, Ethiopia",1200.0
10322,Laptop Bag,2500,1.0,2025-03-22,"Megenagna, Addis Ababa",2500.0
10323,Shoe,3500,1.0,Unknown-Date,Unkown-Adress,3500.0
10324,Laptop Bag,2500,3.0,Unknown-Date,"Mekelle, Ethiopia",7500.0
10325,Wireless Mouse,1200,1.0,Unknown-Date,"Mekelle, Ethiopia",1200.0
10326,Laptop Bag,2500,3.0,2025-02-10,"Adama, Ethiopia",7500.0
10327,iPhone 13,45000,2.0,2025-02-10,Unkown-Adress,90000.0
10328,Samsung S22,38000,2.0,2025-01-15,"Bahir Dar, Ethiopia",76000.0
10329,MacBook Pro,120000,1.0,Unknown-Date,Unkown-Adress,120000.0
10330,Laptop Bag,2500,2.0,Unknown-Date,"Mekelle, Ethiopia",5000.0
10331,Laptop Bag,2500,1.0,Unknown-Date,"Mekelle, Ethiopia",2500.0
10332,MacBook Pro,120000,1.0,Unknown-Date,Unkown-Adress,120000.0
