date,transactions,revenue
2023-05-11,917,17186.36
2023-05-12,1006,17880.78
2023-05-13,1174,22191.81
2023-05-14,1015,20271.39
2023-05-16,970,16530.87
2023-05-17,960,17411.25
2023-05-18,940,20254.44
2023-05-19,981,17256.79
2023-05-20,1136,19718.93
2023-05-21,994,18624.8
2023-05-22,927,19691.49
2023-05-23,921,15845.01
2023-05-25,888,16120.77
2023-05-26,975,18743.71
2023-05-27,1171,25016.82
2023-05-28,1080,17525.48
2023-05-29,866,13524.89
2023-05-30,932,17096.03
2023-05-31,972,18385.94
2023-06-01,920,13588.27
2023-06-02,987,16976.8
2023-06-03,1113,21761.23
2023-06-04,1020,17685.41
2023-06-05,929,17508.06
2023-06-06,937,17220.72
2023-06-07,949,18138.93
2023-06-08,902,16941.87
2023-06-09,968,17938.15
2023-06-10,1153,23064.02
2023-06-11,1058,18299.72
2023-06-12,903,16540.98
2023-06-13,886,17581.68
2023-06-14,968,16748.17
2023-06-15,1040,18294.11
2023-06-16,1089,18537.99
2023-06-17,1233,20637.23
2023-06-18,1084,22965.5
2023-06-19,943,17781.95
2023-06-20,905,18978.66
2023-06-21,984,18946.54
2023-06-22,946,17289.29
2023-06-23,1002,17767.84
2023-06-24,1135,21067.09
2023-06-25,1116,20199.62
2023-06-26,918,17924.72
2023-06-27,935,15748.88
2023-06-28,896,16487.73
2023-06-29,974,18358.25
2023-06-30,963,17156.81
2023-07-01,1235,21996.64
2023-07-02,1083,20563.92
2023-07-03,919,17450.42
2023-07-04,926,16665.19
2023-07-05,880,15955.7
2023-07-06,910,15761.62
2023-07-07,1031,19576.67
2023-07-08,1240,22287.41
2023-07-09,1043,16487.4
2023-07-10,882,15601.49
2023-07-11,932,17779.69
2023-07-12,879,16324.02
2023-07-13,899,15119.29
2023-07-14,1018,19581.08
2023-07-15,1175,22370.51
2023-07-16,1080,20564.58
2023-07-17,987,20150.78
2023-07-18,931,16415.9
2023-07-19,976,18557.71
2023-07-20,1052,18651.3
2023-07-21,1117,21887.44
2023-07-22,1110,22023.81
2023-07-23,1085,20435.54
2023-07-24,975,18731.88
2023-07-25,881,14874.04
2023-07-26,922,17545.67
2023-07-27,926,15100.42
2023-07-29,1134,22474.49
2023-07-30,1114,17585.5
2023-07-31,984,13855.88
2023-08-02,968,16248.25
2023-08-03,900,16978.73
2023-08-04,1046,16854.19
2023-08-05,1174,21318.55
2023-08-06,1126,19228.06
2023-08-07,925,17516.91
2023-08-08,871,15266.85
2023-08-09,991,20072.28
2023-08-10,900,15199.76
2023-08-11,1022,20391.57
2023-08-12,1208,21746.57
2023-08-13,1130,21256.88
2023-08-14,1006,15727.69
2023-08-15,849,13076.35
2023-08-16,991,19431.71
2023-08-17,1028,16631.11
2023-08-18,1043,18257.64
2023-08-20,1069,17816.21
2023-08-21,969,17747.26
2023-08-22,984,15647.31
2023-08-23,936,15196.98
2023-08-25,1053,17699.18
2023-08-26,1173,22426.04
2023-08-27,1170,22231.07
2023-08-28,951,19295.71
2023-08-29,1023,19123.39
2023-08-30,1037,15833.32
2023-08-31,1008,17168.45
2023-09-01,1057,18382.38
2023-09-02,1164,23098.3
2023-09-03,1091,20204.37
2023-09-04,912,15744.72
2023-09-05,984,18354.92
2023-09-06,949,16576.6
2023-09-07,1013,19067.98
2023-09-08,1079,19664.69
2023-09-10,1123,20775.7
2023-09-11,1017,19821.88
2023-09-12,1045,18792.09
2023-09-13,958,18263.17
2023-09-14,1005,17858.66
2023-09-15,1057,20055.22
2023-09-16,1202,22047.14
2023-09-17,1204,21456.74
2023-09-18,987,17143.06
2023-09-19,1033,18175.08
2023-09-20,1077,20154.04
2023-09-21,998,14532.99
2023-09-22,1070,21250.87
2023-09-24,1186,21006.54
2023-09-25,956,16737.31
2023-09-26,1010,19297.54
2023-09-27,1054,19344.28
2023-09-28,1074,19268.62
2023-09-29,1103,19987.39
2023-09-30,1188,23064.54
2023-10-01,1074,23100.55
2023-10-02,1015,18841.73
2023-10-03,1006,14993.71
2023-10-04,963,16735.64
2023-10-05,1003,18694.27
2023-10-06,1067,24502.05
2023-10-07,1152,19413.81
2023-10-08,1159,20220.71
2023-10-09,933,17580.07
2023-10-10,976,18040.39
2023-10-11,1043,16704.2
2023-10-12,1026,19927.47
2023-10-13,1115,17875.88
2023-10-14,1251,22010.89
2023-10-15,1154,23057.67
2023-10-16,975,15621.21
2023-10-17,1077,18832.66
2023-10-18,1006,20634.75
2023-10-19,1108,19508.17
2023-10-20,1054,17315.21
2023-10-21,1269,21727.41
2023-10-22,1164,22414.22
2023-10-23,944,14773.0
2023-10-24,878,14977.62
2023-10-26,987,16047.88
2023-10-27,1056,21048.28
2023-10-28,1246,22267.17
2023-10-29,1163,20169.66
2023-10-30,994,18521.25
2023-10-31,990,16763.28
2023-11-01,955,15461.22
2023-11-02,1082,21337.89
2023-11-03,1063,20531.92
2023-11-04,1254,20980.29
2023-11-05,1191,22689.68
2023-11-06,1039,20969.6
2023-11-07,996,18665.12
2023-11-08,1013,18991.28
2023-11-09,1037,16725.52
2023-11-10,1025,18235.73
2023-11-11,1214,18443.54
2023-11-12,1124,22108.08
2023-11-13,938,16635.59
2023-11-14,1018,20343.45
2023-11-15,1017,17115.29
2023-11-16,1123,21695.0
2023-11-17,1179,18403.6
2023-11-18,1168,20305.26
2023-11-19,1179,22183.25
2023-11-20,949,17583.66
2023-11-21,1039,18614.19
2023-11-22,1042,16166.6
2023-11-25,1291,25455.82
2023-11-26,1164,22927.11
2023-11-27,885,15427.32
2023-11-28,965,17943.5
2023-11-29,1001,22010.29
2023-11-30,1038,17363.27
2023-12-01,1075,20005.81
2023-12-02,1334,22886.51
2023-12-03,1174,24235.13
2023-12-04,1061,19364.96
2023-12-05,1008,16548.18
2023-12-06,1118,19094.32
2023-12-07,1010,16023.62
2023-12-08,1152,16748.77
2023-12-09,1205,16738.84
2023-12-10,1206,20367.85
2023-12-11,1078,17548.24
2023-12-12,953,17373.54
2023-12-13,1008,16881.29
2023-12-14,1079,19788.38
2023-12-15,1120,23172.94
2023-12-16,1208,19577.74
2023-12-17,1242,20066.28
2023-12-18,1013,19739.2
2023-12-19,1089,23481.68
2023-12-20,1066,17770.81
2023-12-21,1020,15745.9
2023-12-22,1111,19507.02
2023-12-23,1336,23214.67
2023-12-24,1132,21587.81
2023-12-26,1062,18692.84
2023-12-27,1102,19302.4
2023-12-28,1114,17372.11
2023-12-29,1071,16712.53
2023-12-30,1372,25610.87
2023-12-31,1191,22418.61
2024-01-03,1050,20380.74
2024-01-04,1037,19395.69
2024-01-05,1127,21318.03
2024-01-06,1342,24851.46
2024-01-07,1141,21789.77
2024-01-08,914,17643.67
2024-01-09,1068,19325.78
2024-01-10,1080,16050.54
2024-01-11,1118,19834.59
2024-01-13,1254,20280.9
2024-01-15,1050,16036.37
2024-01-17,1115,18965.69
2024-01-18,1051,16940.82
2024-01-19,1088,18122.07
2024-01-20,1278,27546.74
2024-01-21,1138,23036.9
2024-01-23,1034,20291.7
2024-01-24,1057,21881.73
2024-01-25,1053,17542.38
2024-01-26,1223,21453.32
2024-01-27,1308,25355.07
2024-01-28,1197,22256.82
2024-01-29,1063,18519.55
2024-01-30,1053,21550.14
2024-01-31,1104,20711.04
2024-02-01,1157,22211.07
2024-02-02,1146,24813.82
2024-02-03,1322,24767.69
2024-02-04,1241,27348.79
2024-02-05,1091,20136.73
2024-02-06,1087,19291.73
2024-02-07,1083,19689.61
2024-02-08,1073,20734.27
2024-02-09,1176,22329.85
2024-02-10,1256,23308.77
2024-02-11,1253,19689.12
2024-02-12,1047,17084.96
2024-02-13,1090,19152.56
2024-02-14,1062,20286.78
2024-02-15,1070,21614.03
2024-02-16,1125,16100.6
2024-02-17,1357,24093.86
2024-02-18,1218,21044.19
2024-02-19,1038,18490.05
2024-02-20,988,18090.73
2024-02-21,1087,18120.96
2024-02-22,954,15221.89
2024-02-23,1232,24062.17
2024-02-24,1301,24879.11
2024-02-25,1233,21374.64
2024-02-26,988,17581.78
2024-02-27,1024,17318.31
2024-02-28,1121,17728.05
2024-02-29,1105,20961.66
