student_id,hours_studied,attendance,previous_score,passed
116,8.5,86,53.4,1
117,3.5,60.1,64.6,0
118,6.8,69.4,43.1,1
119,9.2,88.3,67,1
120,5.4,92.7,47.9,0
121,7.4,67.8,41.2,0
122,6.8,98.9,93,1
123,3.7,51.5,64.4,0
124,6.9,62,74.8,1
125,3.5,77,65.5,0
126,5.7,64.3,84.5,1
127,6.3,79.5,55,0
128,7.5,94.9,81.4,0
129,4.4,64.2,60.1,0
130,6.4,87.1,62,0
131,3.6,60.9,52.4,0
132,6.6,69.6,62.4,0
133,9,74.5,81.6,1
134,6.1,92.8,77.1,0
135,3.1,84.9,68.1,0
136,3.4,77.4,43.4,0
137,7.5,67.1,67.3,1
138,3.8,62.9,64.9,0
139,7.7,75.7,98,1
140,6.4,40.9,53.2,0
141,4.2,79.8,85,0
142,2.2,71.9,80.9,0
143,2.6,66,41.3,0
144,4.2,88,47.3,0
145,5,50,54.2,0
146,2.7,80.1,60.1,0
147,0.5,64.5,48.7,0
148,7,83.5,49.7,1
149,3,72,100,0
150,6.7,88.6,67,1
151,6.3,82.5,75.7,0
152,1.5,83.9,59.4,0
153,5.1,98.2,51.8,0
154,5.7,57.7,70.2,0
155,3.9,74.6,77.8,0
156,2.6,80.3,71.4,0
157,5.7,100,75.1,1
158,6.4,100,65.4,1
159,5.4,79.6,48,0
160,6.7,84.2,30.6,0
161,4.5,98.2,60.5,0
162,8.2,71.8,73.9,0
163,3.3,84.7,51.6,0
164,5.2,86.9,91,1
165,5.7,93,84.5,1
166,6.1,85.2,80.2,1
167,4,93.5,85.2,1
168,3.1,77.5,52.4,0
169,2.8,97.3,62.3,0
170,6.7,87,64.7,0
171,2.5,69.3,69.9,0
172,6.9,73,36.8,0
173,6.1,77.1,70.9,1
174,1.7,97.6,62.1,1
175,10.1,100,50.1,1
176,8,100,84.6,1
177,3.4,78.7,43.5,0
178,4.4,40.2,65.5,0
179,4.7,86.6,78.4,0
180,4.9,69.4,55.7,0
181,6.1,48.9,82.4,0
182,8.3,58.7,62.9,0
183,6.4,97.1,65.3,1
184,8.2,89.9,58.1,1
185,9.4,60.8,49.7,0
186,4.2,77.3,66,1
187,3.5,89,68.2,0
188,3.8,94.1,31.1,0
189,8.3,64,27.2,0
190,2.5,72.6,74.4,0
191,5.2,73.1,71.5,0
192,3.2,77.2,68,0
193,4,93.3,84.8,0
194,6,65.1,78.1,0
195,5.6,68.9,52.2,0
196,5.7,77.8,50.8,0
197,1.9,79.1,58.7,0
198,6.2,74.6,63.4,0
199,3.5,100,49.4,0
200,6.2,58.3,61.4,0
201,6.9,80.4,66,1
202,8,86.6,66.1,0
203,5,62.3,64.6,0
204,7.2,93.1,69.8,1
205,2.9,70.7,47.3,0
206,4.3,85.1,100,1
207,3.9,100,74.4,0
208,5,89.5,56.2,0
209,6.5,70.6,65.3,0
210,5.3,77.5,72.2,0
211,5.1,47.9,75.8,0
212,8.3,69.1,54.5,1
213,5.7,64.1,21.7,0
214,5,77.5,65.2,0
215,8,71.5,76.5,1
216,8.6,60.1,65,0
217,6.5,81.4,46.3,0
218,7.3,60.6,54.4,0
219,6.8,94.6,60.8,1
220,2.1,81.1,99.3,0
221,5.3,86.9,43,0
222,7.8,83.5,70.2,1
223,3.5,78.2,91.8,1
224,4.2,72.5,56.2,0
225,3.5,63.7,73.2,0
226,5.3,69.2,74.3,0
227,3.5,79.9,61.4,0
228,5,73.7,46.7,0
229,1.3,87.7,40.1,0
230,4.4,100,55.4,0
231,5.8,70.8,62.9,0
232,0.5,93.1,63.7,0
233,11.1,70.8,73.6,1
234,6,100,70.2,0
235,7.5,73.8,63.3,1
236,5.2,74.4,55.7,0
237,9.2,68.9,69.8,1
238,5.4,56.8,45.4,0
239,5.8,92.7,70.2,0
240,4.1,81.1,71.7,1
241,4.7,89.9,73.8,1
242,4.1,84,83.4,0
243,2.8,80.8,40,0
244,6.2,64.7,55.8,0
245,3.1,78.3,50,0
246,5,100,88.6,1
247,7.3,92.7,58,0
248,7.1,90.4,71.9,1
249,6.2,86.7,88.5,1
250,9.9,99.4,43.1,1
251,11.4,83.6,73.9,1
252,2.1,96.8,71.6,0
253,6.3,91.6,39.2,0
254,4.5,100,80.2,1
255,5.3,74.4,63.2,1
256,4.8,77.7,71.7,0
257,6.9,63.6,74.3,1
258,7.1,100,59.2,1
259,6.3,88.2,69.5,0
260,7,66.6,74.5,1
261,4.3,70,36.8,0
262,5.8,78.7,57.7,1
263,5,77.1,68.1,0
264,4.4,84,72.4,1
265,6.3,71.7,48.6,0
266,5.6,67.4,77.9,0
267,2.1,66.8,55.2,0
268,4.6,86.3,66.3,0
269,7,80.5,75.8,0
270,3.3,100,36.7,0
271,7,99.9,57.2,1
272,8.1,81.1,61.9,1
273,4.9,100,65.6,0
274,3.8,74.2,45.4,0
275,5.2,70,65.3,0
276,6.1,54.3,55.2,0
277,4.2,71.5,78.4,0
278,3.1,79.5,54.2,0
279,6.3,74.8,68.7,1
280,8.2,62.5,53.9,0
281,2.9,81.3,68.2,0
282,9.2,97,73.7,1
283,3.9,92.4,57.6,0
284,1.4,81.1,98,0
285,5.2,80.8,26.2,0
286,7.2,87.1,81.5,1
287,7.3,78.4,51.9,0
288,8.1,98.3,33.5,1
289,2.7,64.1,65.7,0
290,7,100,95,1
291,3,100,51.4,0
292,6.3,100,70.3,0
293,7.1,74.1,60.6,0
294,0.8,79,56.1,0
295,6.6,80.6,71.3,1
296,5.9,64,90.7,0
297,7.5,67.4,53.1,1
298,7.5,56,61.7,0
299,4.1,80.1,56.4,0
300,4.8,84.4,52.1,0
301,5.9,62.9,59.2,0
302,6.9,76,82.8,1
303,2,64.2,58.1,0
304,5.4,81,63.1,1
305,7.9,99.1,50.5,1
306,5.2,80.7,94.7,1
307,4.9,69.2,57.9,0
308,5.5,100,73.3,0
309,8.3,100,66.9,1
310,2.5,60.1,67.2,0
311,3.9,64.3,73.7,0
312,10.1,37.5,72.8,0
313,2,56.6,49,0
314,2.1,84,84,0
315,3.9,47.2,62.6,0
316,3.6,58.3,52.9,0
317,3.3,80.9,47.8,0
318,0.5,58.3,84.4,0
319,4.9,77.7,79.7,1
320,7.4,76.6,64.4,0
321,7.3,77.2,62,0
322,1.4,100,74.9,0
323,6.7,70.5,61,0
324,3.2,73.1,64.6,0
325,6.7,71.3,89,0
326,7.8,84.2,57.5,0
327,7.6,60.5,51,0
328,6.1,90.2,93.4,1
329,4.4,87.8,57.3,0
330,4.4,53.1,42.6,0
331,5.9,44.1,83.6,0
332,6,89.5,91.8,0
333,2.5,92.2,67.7,0
334,8,94.6,100,1
335,7,95.9,64.9,1
336,6.8,75.9,66.1,1
337,7.8,76,64.1,1
338,5.4,76.6,78.1,1
339,6.5,87.9,79.1,1
340,5.5,76.8,61.4,0
341,0.5,99.7,61.7,0
342,1.2,62,82.4,0
343,6.2,80.1,84.3,0
344,6.1,65.1,46.3,0
345,9.4,82,91.7,0
346,5.7,80.8,76.4,0
347,7,82.5,61.4,0
348,2.3,59.9,74.1,0
349,0.6,54.6,51.5,0
350,4.1,88.4,80.3,1
351,5.6,78.4,84.2,0
352,3.1,93.6,70.9,0
353,2.5,80.6,24.1,0
354,4.8,77.3,61.2,0
355,5.3,100,64.7,0
356,2.3,67.4,79.9,0
357,10.4,85.3,66.8,1
358,3.8,77.4,77.3,0
359,2.6,56.7,82.4,0
360,3.3,84.9,78.6,0
361,2.1,88.4,72.8,0
362,2.1,100,75.2,0
363,6.2,82.6,79.7,1
364,5.9,78.4,84.1,0
365,7.5,75,76.8,0
366,8.8,84.1,82.3,1
367,6.1,60.5,60.4,1
368,3.1,94.7,59,0
369,4.6,94.6,58,0
370,7.5,94.4,68,0
371,6.2,72,89.3,0
372,8.9,59.1,63.9,0
373,6.7,86.5,55.3,1
374,8.1,79.3,84,1
375,10.5,68.2,49.6,1
376,4.4,82,56.5,0
377,4.9,90.2,30.2,0
378,3,94.4,86.1,0
379,12,99,81,1
380,2.2,82.9,67.9,0
381,3.3,82.6,94.4,1
382,7.8,74.9,51.8,0
383,10.8,75.4,33.4,0
384,4.5,97.5,63.7,0
385,1.6,72.9,51.6,0
386,6.1,87.1,91.6,1
387,7,62.5,71,1
388,5.7,92.9,73.1,0
389,4.3,67.1,74.6,1
390,9,79.8,83.6,1
391,9.9,68.5,79.5,0
392,3.2,55.9,80.8,0
393,3.6,78.2,68.8,0
394,4.4,74.1,48.8,0
395,0.6,97.4,99.7,0
396,5.5,78.8,54.7,0
397,6.3,99,67.8,0
398,6.3,80.5,42.5,0
399,6.4,97.4,89.7,1
400,7.7,92,70.6,1
401,1.6,73.5,50.5,0
402,3.7,80.8,100,1
403,5.6,70.4,87.2,1
404,12,86.7,94.2,1
405,9.7,70,42,0
406,7.3,94.3,56.9,1
407,3,97.3,100,1
408,7.8,68.9,43.3,0
409,8.6,76.7,63.7,1
410,6.3,59.1,36.2,0
411,7,90.9,40.9,0
412,3.9,67.3,55.7,0
413,8.6,59,76.1,0
414,4.1,66.1,81,0
415,7.8,94.1,84.1,1
416,4.8,80.6,75.1,0
417,3.6,81.6,55.2,0
418,7.2,96.4,60.3,0
419,5.9,87.5,49.5,0
420,1,86.3,67,0
421,6.6,70.3,85.6,1
422,5.6,63.9,78.8,0
423,6.2,93.4,44,0
424,7.4,82.3,65.9,0
425,9.5,74.4,69.5,1
426,7.6,71.7,39.2,0
427,3.7,77.9,71.9,0
428,4.4,71.8,48.3,0
429,3.1,85.9,62.2,0
430,5.2,77.6,67.7,1
431,2.1,68.3,69.8,0
432,4.1,82.9,62.7,0
433,5.7,79.5,35,0
434,0.8,100,79.9,0
435,6.1,59.5,35.7,0
436,4.8,57,48.8,0
437,5.9,100,64.9,0
438,8.4,92.3,61.1,1
439,2.4,75.6,48,0
440,6.6,54.2,88.9,0
441,6.8,76.9,96,1
442,2,74.6,54.6,0
443,3.7,100,50.8,1
444,8.8,79.5,42.4,0
445,2.5,92.6,58.6,0
446,4.3,88,43.7,0
447,6.7,62.3,67.9,0
448,6.6,89.7,85.8,1
449,8.3,70.2,95.2,1
450,7.1,87.8,67.9,1
451,6.1,81.9,53.5,1
452,2.6,54.8,91.2,0
453,4.1,78.8,80.4,0
454,3.4,87.9,62.2,0
455,1.6,69.3,72,0
456,0.6,99.7,61,0
457,6,53.6,55.3,0
458,3,79.1,49,0
459,1,97.7,82.2,0
460,0.5,75.6,50.2,0
461,2,73.7,63.4,0
462,4.6,93.8,78.3,1
463,3.6,77.3,75.6,0
464,3.4,63.3,95.4,0
465,9,82.9,61.7,1
466,6.7,100,70.3,1
467,4.9,77,55.3,0
468,10.2,88.8,86.1,1
469,1.6,82.2,56.4,0
470,5.9,100,61.7,0
471,6.3,100,73.2,1
472,3.9,86.9,76.8,0
473,6.7,81.1,42.3,0
474,2.3,74.5,72,1
475,9.3,71.1,92.6,1
476,6.3,86,88.9,1
477,8.7,87,97.9,1
478,1.9,97.9,74,0
479,4.9,90.5,69.3,0
480,4.9,83.8,65.8,0
481,8.5,66.3,77.1,1
482,4.7,55,39.4,0
483,2.6,84.3,60.1,0
484,2.7,74.4,72.8,0
485,2.1,70.7,54.3,0
486,5.7,100,97.9,1
487,4.3,98.7,84,1
488,5,57.8,73,0
489,9.5,81.9,92.1,1
490,7.1,80.8,99.6,1
491,3.5,84.3,60.7,0
492,3.5,70.1,92.4,0
493,5.5,90.9,69.3,1
494,4.1,92.9,56,0
495,7.3,57.2,79.8,0
496,5.1,70.3,66.2,0
497,2.9,90.5,67,1
498,8,77.2,52.7,0
499,5.5,75.8,63.6,1
500,5.8,71.2,53,0
501,2.1,82.7,71.3,0
502,7.4,83.3,89.7,1
503,6.4,91.1,48.2,0
504,3.3,92.4,67.4,1
505,6.4,76.2,62.6,1
506,3.7,100,50,0
507,4.3,63.4,61.1,1
508,3.7,59.2,69.9,0
509,7.6,75.3,60.9,1
510,3.3,80.8,62.8,0
511,10.8,55.8,53.2,1
512,6.2,86.3,40.6,0
513,8.3,73.5,58.2,1
514,6.7,49.4,20,0
515,3.4,90.8,73.2,0
516,7.5,100,58.8,1
517,2.8,77.5,73.6,0
518,0.5,84.7,59.1,0
519,5.7,70.4,45.6,0
520,10.9,56,77.2,1
521,1.5,93.5,73.2,0
522,7.5,68,67.7,1
523,1.4,100,60.3,0
524,10,84.9,56.3,0
525,7.3,73.3,58.9,0
526,5.7,88.2,78.9,1
527,3.6,88.6,52,0
528,5.3,84.4,90,1
529,3.6,81.7,65.9,0
530,3.9,74.2,33.1,0
531,4.7,87.9,56.5,1
532,3.8,87.1,97.1,1
533,7.7,70.2,92.2,1
534,5.6,38.1,63.1,0
535,3.6,68.6,60.3,0
536,3.2,85.7,52.3,0
537,5.8,100,72.1,1
538,6.8,70.8,73.6,0
539,7.4,79.7,74.3,1
540,4.1,90.9,87,0
541,6.9,56.2,84.5,1
542,6.5,86.5,50.6,1
543,4.1,78.4,66.4,0
544,5.2,65.1,58.1,0
545,6.4,91.7,90.8,0
546,5,88.1,67.1,1
547,3.2,73.7,52.9,0
548,7.5,63.8,52.1,0
549,5.6,69.3,62.9,0
550,7.1,79.7,85.5,1
551,4.2,70.3,70.4,0
552,6,68.5,66.1,0
553,7.8,94.2,100,1
554,4.1,70.1,20,0
555,6.1,63,72.5,1
556,5.2,87.4,83.8,0
557,0.9,62.2,79.3,0
558,5.6,81.9,63.1,0
559,10,90.3,59.1,1
560,5.5,67.8,65.2,0
561,7.5,77.5,64.6,0
562,8,55.7,68.4,0
563,3.7,83.3,46.1,0
564,6.1,91.2,41.7,0
565,3.9,93.5,71.6,1
566,7.6,83.4,44.3,0
567,7.6,58.5,66.2,0
568,1.9,54.7,52.9,0
569,4.9,71.1,59.8,0
570,6.1,75.3,82.7,0
571,6.3,80.8,53.7,0
572,9.4,91.9,90.8,1
573,6.2,43,91.2,0
574,10.6,69.1,68.9,1
575,5,84.6,70,0
576,7.5,100,35.1,0
577,2.6,72.8,83.2,0
578,3.2,69.9,64.8,0
579,6,70.8,63.1,0
580,7.6,80.9,54.2,1
581,5.9,61.8,76.1,1
582,8.6,68.4,63.8,0
583,9.1,77.5,57.4,1
584,4.3,76.6,57.7,0
585,6.8,87,66.4,0
586,1.8,80.7,89.5,0
587,4.9,75.4,70.1,0
588,9,89.8,69.7,1
589,6.3,72.8,73.1,1
590,4.2,85.6,48.9,0
591,5.5,70.2,67.3,0
592,4.7,92.4,54.7,1
593,7,59.9,49,0
594,3.3,54.1,73.5,0
595,9,66.9,46,0
596,9.2,49,74.7,1
597,10,60.1,65.5,0
598,9,75.5,84.1,1
599,5.7,100,58.5,1
600,4.7,68.1,62.2,0
