mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name
16.6,4,271.8,186,3694,16.1,79,2,Car_182
21.1,8,481.4,185,3033,15,74,2,Car_183
31.7,8,429,172,2276,12.4,78,1,Car_184
15,4,278,189,3886,12.9,73,1,Car_185
28.6,6,342.6,165,2881,14.4,82,1,Car_186
21.5,6,367.2,188,3626,13.8,79,1,Car_187
22.9,5,314.8,153,2847,14.6,71,1,Car_188
12.8,5,356.7,214,4243,15.1,72,1,Car_189
20.8,4,283.6,167,4029,16.1,82,2,Car_190
26.6,4,254.5,117,2626,14.9,80,1,Car_191
19.7,8,500,214,3480,16,70,3,Car_192
17.9,8,487.5,197,3252,15.1,75,1,Car_193
16.8,6,386.1,196,3758,11,82,1,Car_194
36.3,4,241.5,117,2125,13.1,75,3,Car_195
15.8,4,276.1,168,3280,14.7,70,2,Car_196
19,6,383.4,182,3541,12.6,80,1,Car_197
46.6,8,384.4,115,1569,16.2,82,3,Car_198
34.6,8,411.2,146,1972,18.1,72,3,Car_199
40.9,6,279.5,93,1500,17.4,74,1,Car_200
24.1,6,352.6,159,2611,14.6,72,1,Car_201
23.2,4,287.3,139,3302,18,79,3,Car_202
15.1,4,280.4,202,3852,15.3,72,2,Car_203
28.3,8,473,185,2852,14.3,79,2,Car_204
15.3,6,358.1,209,3940,13.8,72,3,Car_205
35.9,3,158.1,112,1834,14.4,74,1,Car_206
38.9,4,230.4,121,1608,14.2,82,1,Car_207
29.2,6,369.8,174,2761,15.3,74,1,Car_208
27.3,3,256.4,119,3069,15.3,73,3,Car_209
25.6,4,250.2,124,2777,15,70,2,Car_210
40.1,5,289.4,91,1500,15.9,74,2,Car_211
28.2,6,347.4,158,2738,17.4,79,1,Car_212
36.1,6,320.5,131,1887,16.9,74,1,Car_213
22.2,4,291.1,152,3269,12,73,2,Car_214
26.1,6,370.4,173,3057,9.9,75,3,Car_215
37,4,209.7,106,2142,16.9,79,2,Car_216
29.2,4,279.3,120,2440,12.3,73,1,Car_217
38.1,6,356.4,109,2059,14.6,76,3,Car_218
28.2,6,336.2,144,2756,12.7,76,1,Car_219
19,6,377,166,3469,11.4,71,3,Car_220
30.4,6,340.2,118,2110,16.1,72,1,Car_221
20.3,5,320.3,182,3153,16.5,70,2,Car_222
32,4,238.4,115,2429,13.8,77,1,Car_223
32.2,4,230.7,161,2245,9.8,78,3,Car_224
24.9,4,257.3,148,2725,13.9,73,2,Car_225
34.5,4,262.7,118,2075,15.8,75,1,Car_226
31.8,8,439.8,148,2412,12,78,1,Car_227
33.7,4,228.6,121,1961,15.4,75,1,Car_228
12.2,8,494.7,222,4175,15,81,1,Car_229
28.3,6,293.7,163,2825,16.2,81,3,Car_230
32.1,6,359,179,2310,15.2,81,1,Car_231
26.6,4,229.5,149,2950,13.1,78,3,Car_232
30.1,5,295.5,166,2721,17.4,73,2,Car_233
29.6,4,233.2,127,2645,14.7,77,2,Car_234
18.3,4,246.4,161,3230,14.9,78,1,Car_235
17.1,6,388.4,208,3330,13.1,73,1,Car_236
32,4,240,120,2429,14.1,74,3,Car_237
34.1,4,255.4,155,2397,13.2,77,3,Car_238
30.3,6,343.6,163,2607,14.7,81,1,Car_239
40.7,4,232.4,84,1500,18.4,79,1,Car_240
35.5,8,411.2,143,1739,12.3,75,2,Car_241
19.1,8,441.7,229,3757,11.8,81,3,Car_242
8,8,492.8,231,3951,17.9,76,1,Car_243
30.5,4,245.1,113,2626,14.6,72,1,Car_244
23.8,3,195.4,141,3204,13.7,76,3,Car_245
28.1,8,437.7,181,3018,17.1,81,1,Car_246
8,4,351.6,229,4955,13.8,77,1,Car_247
19.9,8,479.4,217,3584,18.7,79,2,Car_248
29.5,8,430.5,175,2710,16.4,75,3,Car_249
35.7,8,413.9,129,2131,14,79,1,Car_250
41.6,4,221.4,105,1675,19.3,78,2,Car_251
28.3,4,305.6,159,2942,13.8,82,2,Car_252
31.3,8,432.5,163,2271,16.5,75,2,Car_253
38.6,4,240.2,120,1804,15.6,81,2,Car_254
32.1,4,267.7,138,2347,17.6,78,2,Car_255
40.8,5,288.1,129,2043,18.1,82,1,Car_256
10.4,8,468.6,222,3981,15.1,73,2,Car_257
22.5,6,363.7,160,3417,13.5,77,2,Car_258
29.2,5,303.4,158,2794,15.9,80,2,Car_259
15.4,4,288.9,189,3836,13.6,73,3,Car_260
23.5,6,366.1,166,2854,19,71,1,Car_261
37,8,423.8,133,2197,15.3,79,3,Car_262
18.5,4,305.1,170,3866,14.3,80,3,Car_263
23,4,269.2,175,3177,15.4,78,1,Car_264
30.4,8,420.8,146,2074,12.3,74,2,Car_265
26.7,6,306.2,165,2667,13.1,73,1,Car_266
30.1,6,350.8,136,2187,17.4,71,1,Car_267
33.1,6,329.3,122,1832,13.7,70,1,Car_268
22.4,4,298.5,184,3448,12.9,80,1,Car_269
12.4,4,240.3,190,4137,16.1,76,1,Car_270
39.4,6,363.8,122,1821,17.4,75,3,Car_271
17.6,6,358.5,169,3194,16.4,71,1,Car_272
35.4,8,449.2,151,2345,17,77,3,Car_273
30.6,8,409.5,158,2459,13.5,80,2,Car_274
28,4,260.4,131,2385,12.2,73,3,Car_275
34.3,4,221.7,113,2195,18,77,2,Car_276
23.5,6,338.5,180,2834,14.4,76,1,Car_277
32,6,371.7,123,2218,14.5,74,2,Car_278
25.9,6,351.6,165,2989,17.7,79,1,Car_279
31.2,6,353.3,152,2765,16.1,79,2,Car_280
29.6,8,452.6,191,2633,15.9,81,3,Car_281
32.3,4,251.8,122,2165,19.3,77,1,Car_282
28.8,4,251.5,143,2396,13.7,78,1,Car_283
22.4,4,282.4,143,3329,16.9,74,3,Car_284
22,5,363.1,170,3151,15.1,79,3,Car_285
31.7,4,239.3,130,2116,15.5,74,2,Car_286
25.9,4,266,148,2870,18.1,71,1,Car_287
18.1,5,341,189,3326,16,74,2,Car_288
38.7,4,248.7,89,1631,16.1,72,1,Car_289
20.6,5,339.6,188,3180,17.1,76,3,Car_290
36.7,4,259.5,160,2336,14.3,79,3,Car_291
27.4,4,248.6,155,3199,13.3,74,3,Car_292
35.5,6,367.4,132,2266,12.9,77,3,Car_293
39.8,4,201,115,1537,11.1,70,1,Car_294
38.1,4,233.5,122,1661,19.1,72,3,Car_295
27.8,5,290.9,146,2834,12.8,72,3,Car_296
27.7,6,353.9,161,2982,14.6,78,1,Car_297
34.9,4,248.5,114,2167,14.4,74,3,Car_298
21.6,6,369.2,158,3247,15.6,81,1,Car_299
43.3,4,235.2,84,1637,16.6,78,2,Car_300
