,Title-List,Image-List,Date-List,Para-List
17,African Mining Week to spotlight latest mining technology,https://newbusinessethiopia.com/wp-content/uploads/2025/05/images-150x92.jpeg,"May 5, 2025","African Mining Week to spotlight latest mining technology


                            May 5, 2025                        

                            The upcoming African Mining Week (AMW) – Africa’s premier gathering for mining stakeholders, scheduled for October 1-3, 2025 in Cape Town, South Africa, is set to feature a dedicated Technology forum."
18,African Mining Week to highlight Africa’s gold market,https://newbusinessethiopia.com/wp-content/uploads/2025/03/African-Mining-Week-to-highlight-Africas-gold-market-150x100.jpeg,"March 3, 2025","African Mining Week to highlight Africa’s gold market


                            March 3, 2025                        

                            The upcoming African Mining Week (AMW) scheduled to take place from October 1 -3 in Cape Town in South Africa, is set to showcase high-potential gold projects, investment opportunities and emerging exploration…"
19,Group to unlock Africa’s critical minerals potential,https://newbusinessethiopia.com/wp-content/uploads/2024/11/Group-to-unlock-Africas-critical-minerals-potential-144x100.jpeg,"November 14, 2024","Group to unlock Africa’s critical minerals potential


                            November 14, 2024                        

                            Global leaders in the critical minerals industry have today launched the Critical Minerals Africa Group (CMAG) to foster deeper relationships between Africa and global markets, empower companies operating in Africa’s critical minerals…"
20,Ethiopia set to increase gold production by 10 tons,https://newbusinessethiopia.com/wp-content/uploads/2024/09/Ethiopia-set-to-increase-gold-production-by-10-tons-150x91.jpeg,"September 30, 2024","Ethiopia set to increase gold production by 10 tons


                            September 30, 2024                        

                            The Ministry of Mines of Ethiopia said the country’s gold production will soon increase by 10 tons when there gold mining companies go operational."
21,Malawi to highlight mining investment prospects,https://newbusinessethiopia.com/wp-content/uploads/2024/06/Malawi-to-highlight-mining-investment-prospects-150x91.jpeg,"June 26, 2024","Malawi to highlight mining investment prospects


                            June 26, 2024                        

                            Minister of Mining of Malawi, Monica Chang’anamuno, will return as a speaker to this year’s edition of the Critical Minerals Africa (CMA) Summit – Africa’s premier gathering for critical mineral industry stakeholders."
22,"KEFI Gold releases report about Ethiopia, Saudi projects",https://newbusinessethiopia.com/wp-content/uploads/2024/06/KEFI-Gold-releases-report-about-Ethiopia-Saudi-projects-130x100.jpg,"June 17, 2024","KEFI Gold releases report about Ethiopia, Saudi projects


                            June 17, 2024                        

                            KEFI Gold and Copper, which has been operating in Ethiopia and Saudi Arabia, issued its annual report for the year ended 2023."
23,Unlocking Africa’s mineral wealth,https://newbusinessethiopia.com/wp-content/uploads/2024/05/Unlocking-Africas-mineral-wealth-150x100.jpeg,"May 24, 2024","Unlocking Africa’s mineral wealth


                            May 24, 2024                        

                            As part of its 60th anniversary celebrations, UN Trade and Development (UNCTAD) is set to hold a pre-event in Addis Ababa, Ethiopia, and online on 4 June, 2024."
24,Lessons for South Sudan from neighboring gold producers,https://newbusinessethiopia.com/wp-content/uploads/2024/05/Lessons-for-South-Sudan-from-neighboring-gold-producers-150x100.jpeg,"May 15, 2024","Lessons for South Sudan from neighboring gold producers


                            May 15, 2024                        

                            While remaining underexplored, South Sudan is considered to hold significant commercial quantities of mineral resources."
25,AFC unveils partnerships to boost Africa’s mining sector,https://newbusinessethiopia.com/wp-content/uploads/2024/02/AFC-unveils-partnerships-to-boost-Africas-mining-sector-150x88.jpg,"February 16, 2024","AFC unveils partnerships to boost Africa’s mining sector


                            February 16, 2024                        

                            Africa Finance Corporation (AFC), the continent’s leading instrumental infrastructure solutions provider, has announced several strategic partnerships on the sidelines of the recently concluded 2024 Mining Indaba conference in Cape Town to boost…"
26,Zambia’s President to reflect at 2024 Africa mining conference,https://newbusinessethiopia.com/wp-content/uploads/2024/01/Zambia-to-host-2024-Africa-mining-investment-conference-122x100.jpg,"January 23, 2024","Zambia’s President to reflect at 2024 Africa mining conference


                            January 23, 2024                        

                            Zambia is set to promote its invetment opportunities in mineral sector at the 2024 Mining Indaba, the major mining investment gathering in Africa that aims to support education, career development, sustainable development…"
27,"Global mineral value chains supply, policy and investment",https://newbusinessethiopia.com/wp-content/uploads/2024/01/Global-mineral-value-chains-supply-policy-and-investment-136x100.jpg,"January 12, 2024","Global mineral value chains supply, policy and investment


                            January 12, 2024                        

                            Funding global mineral value chains urgently requires three factors: supply, policy and investment, said Khalid Al-Mudaifer, Vice-Minister for Mining Affairs, Ministry of Industry and Mineral Resources, Kingdom of Saudi Arabia."
28,Africa told to harness mineral reserves for economic transformation,https://newbusinessethiopia.com/wp-content/uploads/2023/08/Africa-told-to-harness-mineral-reserves-for-economic-transformation-131x100.jpg,"August 23, 2023","Africa told to harness mineral reserves for economic transformation


                            August 23, 2023                        

                            Africa should harness its vast mineral reserves to drive economic transformation and accelerate sustainable development on the back of power poverty, urges the Acting Executive UN Secretary of the Economic Commission for…"
29,Local gold mining invests $2 billion in Ethiopia,https://newbusinessethiopia.com/wp-content/uploads/2022/12/New-gold-mining-invests-2-billion-in-Ethiopia-150x100.jpg,"December 25, 2022","Local gold mining invests $2 billion in Ethiopia


                            December 25, 2022                        

                            With a total of $2 billion Investment capital, a local gold mining investment by Time Mineral of Time General Business Group goes operational today in Southern Ethiopia along the Genale River."
30,Royal Canadian Mint introduces gold bullion coin,https://newbusinessethiopia.com/wp-content/uploads/2022/10/Royal-Canadian-Mint-introduces-gold-bullion-coin-100x100.jpg,"October 19, 2022","Royal Canadian Mint introduces gold bullion coin


                            October 19, 2022                        

                            Royal Canadian Mint (the Mint) introduced its first gold bullion coin completely sourced from a single mine in response to increasing market demand for greater transparency in the provenance of precious metals."
31,KEFI Minerals shareholders approve capital raisings,https://newbusinessethiopia.com/wp-content/uploads/2022/05/KEFI-Minerals-shareholders-approve-capital-raisings-133x100.jpg,"May 17, 2022","KEFI Minerals shareholders approve capital raisings


                            May 17, 2022                        

                            KEFI Minerals, the gold exploration and development company with projects in Ethiopia and Saudi Arabia, announces that at its General Meeting held earlier today, all resolutions were duly passed including the latest…"
32,Ethiopia gold mining secures 1.5 billion Birr investment,https://newbusinessethiopia.com/wp-content/uploads/2022/04/Ethiopia-gold-mining-secures-1.5-billion-Birr-investment-128x100.png,"April 21, 2022","Ethiopia gold mining secures 1.5 billion Birr investment


                            April 21, 2022                        

                            The shareholders of KEFI today agreed to invest an additional 1.5 billion Birr investment in the Tulu Kapi Gold Mines S.C that has been engaged in gold exploration in Ethiopia."
33,Ethiopia gold export increases to $672 million,https://newbusinessethiopia.com/wp-content/uploads/2022/03/Ethiopia-gold-export-increases-to-672-million-150x87.png,"March 29, 2022","Ethiopia gold export increases to $672 million


                            March 29, 2022                        

                            Gold, the second highest hard currency generator export commodity of Ethiopia, has generated $672 million last year concluded July 7, 2021."
34,"Gold mining in Gambella, Ethiopia commences operation",https://newbusinessethiopia.com/wp-content/uploads/2022/03/Gold-mining-in-Gambella-Ethiopia-commences-operation-150x100.png,"March 4, 2022","Gold mining in Gambella, Ethiopia commences operation


                            March 4, 2022                        

                            A new gold mining company on Thursday commences operation in Gambella region in Western Ethiopia, says the Ministry of Mines of Ethiopia."
35,Eight companies to commence coal production in Ethiopia,https://newbusinessethiopia.com/wp-content/uploads/2021/12/Eight-companies-to-commence-coal-production-in-Ethiopia-129x100.png,"December 30, 2021","Eight companies to commence coal production in Ethiopia


                            December 30, 2021                        

                            The Federal Government of Ethiopia is set to issue coal production licenses for eight companies to enable the country end import of coal within one year period."
36,KEFI to commence Tulu Kapi gold project in Ethiopia,https://newbusinessethiopia.com/wp-content/uploads/2021/12/KEFI-to-commence-Tulu-Kapi-gold-project-in-Ethiopia-150x85.jpg,"December 23, 2021","KEFI to commence Tulu Kapi gold project in Ethiopia


                            December 23, 2021                        

                            KEFI Minerals indicated that it is planning to commence its Tulu Kapi gold project in Ethiopia in 2022.”The company has planned to be as soon as the security situation allows, which is…"
37,"Ethiopia set to end fertilizer, coal, steel importing",https://newbusinessethiopia.com/wp-content/uploads/2021/09/Takele-143x100.png,"September 10, 2021","Ethiopia set to end fertilizer, coal, steel importing


                            September 10, 2021                        

                            By utilizing its natural gas, coal and iron ore deposits, Ethiopia is set to start production of fertilizer and coal next year, as well as iron ore processing within three years, says…"
38,Ethiopia gold export generates $600 million,https://newbusinessethiopia.com/wp-content/uploads/2021/07/GoldExport-139x100.png,"July 5, 2021","Ethiopia gold export generates $600 million


                            July 5, 2021                        

                            Annual gold export income of Ethiopia has increased to over $600 million during the current budget year of the country set to be concluded this month on July 7, 2021."
39,Brattle economists present regulatory tools to aid utilities,https://newbusinessethiopia.com/wp-content/uploads/2021/06/Regulatory_Treatment_of_Coal_Plants-150x80.jpg,"June 22, 2021","Brattle economists present regulatory tools to aid utilities


                            June 22, 2021                        

                            Across the US, coal plants are facing heightened competition from natural gas and renewable resources amid increased national and local decarbonization goals."
40,BIT Mining completes cash offer for Loto Interactive shares,https://newbusinessethiopia.com/wp-content/uploads/2021/06/BIT-Mining-100x100.jpg,"June 18, 2021","BIT Mining completes cash offer for Loto Interactive shares


                            June 18, 2021                        

                            BIT Mining Limited (NYSE: BTCM) (“BIT Mining” or “the Company”), a leading cryptocurrency mining enterprise, today announced that it has completed its cash offer previously announced on March 31, 2021."
41,Fosterville South to drill Beechworth Gold Project,https://newbusinessethiopia.com/wp-content/uploads/2021/06/gold-150x100.jpg,"June 18, 2021","Fosterville South to drill Beechworth Gold Project


                            June 18, 2021                        

                            Fosterville South Exploration Ltd. announce it is mobilizing a drill rig to commenced drilling at its Beechworth Gold Project, located within the Tabberabbera Zone in the state of Victoria, Australia."
42,Ethiopia gets $314 million from minerals export,https://newbusinessethiopia.com/wp-content/uploads/2021/02/mineralDrTut-150x100.png,"February 15, 2021","Ethiopia gets $314 million from minerals export


                            February 15, 2021                        

                            The Ministry of Mines and Petroleum said the country has secured $314 million from export of minerals during the first six months of the current budget year of the country started July…"
43,Ethiopia revokes 63 mining licenses,https://newbusinessethiopia.com/wp-content/uploads/2020/12/goldet-200x122.jpg,"December 15, 2020","Ethiopia revokes 63 mining licenses


                            December 15, 2020                        

                            The Ministry of Mines and Petroleum of Ethiopia today announces revoking 63 mining licenses."
44,UN agency launches report on extractive sector governance,https://newbusinessethiopia.com/wp-content/uploads/2020/10/miningpic-200x128.jpg,"October 31, 2020","UN agency launches report on extractive sector governance


                            October 31, 2020                        

                            Sudan’s Prime Minister, Abdalla Hamdok, and Economic Commission for Africa’s (ECA) Executive Secretary, Vera Songwe, on Friday launched a new publication that proposes actions that need to be put in place to…"
45,Ethiopia gold production increases threefold,https://newbusinessethiopia.com/wp-content/uploads/2020/10/takelemining-200x133.jpg,"October 12, 2020","Ethiopia gold production increases threefold


                            October 12, 2020                        

                            Gold production of Ethiopia by artisan miners over the past three months starting July 7, 2020 has increased by close to 300 compared to the target set by the Ministry of Mines…"
46,Ethiopia gives coal mining to unemployed youth,https://newbusinessethiopia.com/wp-content/uploads/2020/06/coal-200x120.jpg,"June 26, 2020","Ethiopia gives coal mining to unemployed youth


                            June 26, 2020                        

                            The Oromia Region of Ethiopia has given coal mining site to 500 unemployed youth to mine coal and supply to nearby cement factories."
47,Ethiopia earns $145 million from gold export,https://newbusinessethiopia.com/wp-content/uploads/2020/06/goldet-200x122.jpg,"June 18, 2020","Ethiopia earns $145 million from gold export


                            June 18, 2020                        

                            Over the past eleven months of the current budget year of Ethiopia that ends July 7, 2020, the country has earned over $145.1 million from gold export."
48,Guinea to host AU’s Africa Mining Development Center,https://newbusinessethiopia.com/wp-content/uploads/2019/10/paulpic-200x134.png,"October 4, 2019","Guinea to host AU’s Africa Mining Development Center


                            October 4, 2019                        

                            Conakry, the capital of Guinea is selected to host the headquarters of Africa Union’s specialized agency on minerals development, Africa Mining Development Center (AMDC)."
49,Ethiopia attracts over $100 million investment in mining,https://newbusinessethiopia.com/wp-content/uploads/2019/08/mining160-200x91.png,"August 12, 2019","Ethiopia attracts over $100 million investment in mining


                            August 12, 2019                        

                            The Ministry of Mines and Energy said it has attracted over 3 billion birr ($106.4 million) investment in the mining sector of the country over the past one year period ended July…"
50,Al Hilal begins assembling gold detector devices in Ethiopia,https://newbusinessethiopia.com/wp-content/uploads/2019/08/ethiopia_GPZ-pull-up120-200x92.png,"August 3, 2019","Al Hilal begins assembling gold detector devices in Ethiopia


                            August 3, 2019                        

                            A company named, Al Hilal Gold Mining, is set to inaugurate Ethiopia’s first modern gold detector device assembly in the capital Addis Ababa."
51,"Ethiopia finds 18 gold, gemstone, industrial mineral-rich areas",https://newbusinessethiopia.com/wp-content/uploads/2019/07/goldpic130-e1578821322260.png,"July 3, 2019","Ethiopia finds 18 gold, gemstone, industrial mineral-rich areas


                            July 3, 2019                        

                            The government of Ethiopia says it has found 18 gold, gemstone and industrial mineral-rich areas across the country during the current fiscal year started July 8,2018."
52,Chinese company begins bentonite mining in Ethiopia,https://newbusinessethiopia.com/wp-content/uploads/2019/03/Bentonite-180x98.jpg,"March 9, 2019","Chinese company begins bentonite mining in Ethiopia


                            March 9, 2019                        

                            Arerti Ceramics Manufacturing, a Chinese company incorporated in Ethiopia, has signed agreement with the Ministry of Mines and Petroleum to start mining bentonine mineral in Amhara region of Ethiopia."
53,Commission to host African Minerals Development Center,https://newbusinessethiopia.com/wp-content/uploads/2019/02/250mines-214x150.png,"February 18, 2019","Commission to host African Minerals Development Center


                            February 18, 2019                        

                            The UN Economic Commission for Africa handed over the African Minerals Development Center (AMDC) to the African Union Commission (AUC) following its inception in 2012."
54,Ethiopia misses 95% minerals’ export target,https://newbusinessethiopia.com/wp-content/uploads/2019/01/opal-300x122.png,"January 31, 2019","Ethiopia misses 95% minerals’ export target


                            January 31, 2019                        

                            Partly impacted by the revocation of MIDROC Gold license of Etho-Saudi billionaire Al Amoudi, Ethiopia has missed 95% of its mining export target for the first six months of the current fiscal year…"
